Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123)
9.206714568521555e-19,0.0004434385066666667,0.2,0.0,0.0013050395208732374,0.19999999999969809,0.19999999999873438,0.19999999999998994,0.19999999999763285,3.4854955512552226e-55,6.278934660288147e-43,6.4995203774501455e-84,3.698500533002061e-110,6.03855520344056e-13,1.3887327122493032e-19,2.8218054989354167e-33,2.367184450701125e-12,1.2656256734990758e-12,1.0096924567143692e-14,1.1194240502071356e-36,3.680393697534126e-32,4.567106058699215e-33,4.142990175308437e-55,2.950870043356894e-50,2.5286485726653175e-67,3.6250384509646245e-68,5.93615339194494e-82,2.6656330106415066e-114,5.965979339376344e-65,1.766296522079296e-92,1.0174281244983802e-97,1.487133605877582e-96,8.104407475684413e-101,6.042420212636519e-131,6.210538644466421e-126,7.974345885748702e-134
1.841343694167837e-18,0.0004434385066666667,0.2,0.0,0.001305039516626471,0.19999999999939616,0.19999999999746876,0.19999999999997983,0.19999999999526566,6.970994361146767e-55,1.2557874661486784e-42,3.3271626457063333e-81,7.573176425048802e-107,1.2077115473419324e-12,2.777466589691706e-19,1.128725577967369e-32,4.734370851991055e-12,2.5312524143722336e-12,2.0193854715170174e-14,8.955401203851386e-36,2.943868392429594e-31,3.650977506433161e-32,1.6856144582837803e-54,9.441336719621533e-49,3.2360935353258235e-65,4.6393006385678985e-66,3.038820617234294e-79,1.803111951555345e-110,7.635282412741697e-63,9.04183441637802e-90,2.08060490076682e-94,2.51521354917208e-93,1.659486245421625e-97,2.0468827468396993e-127,2.1038330924811877e-122,2.6120219351038905e-129
3.6826881687992e-18,0.0004434385066666667,0.2,0.0,0.001305039508132939,0.1999999999987923,0.1999999999949375,0.19999999999995963,0.19999999999053128,1.394201102222662e-54,2.511575523206749e-42,1.7031395210540626e-78,4.317373315933766e-103,2.4154235856138386e-12,5.554934308422345e-19,4.514925033288237e-32,9.46874348627079e-12,5.0625058795855295e-12,4.0387706076043385e-14,7.164324418672116e-35,2.3547002014646096e-30,2.9196802845758287e-31,7.652590320409048e-54,3.0207235832236586e-47,4.1413043502728533e-63,5.937309468614241e-64,1.555615465993775e-76,1.4379341357133982e-106,9.771533563399224e-61,4.628428962889141e-87,1.1850045328338702e-90,5.014652496986862e-90,9.460523869505375e-94,2.0466151746877733e-127,2.1035575474833588e-122,1.8560789334892255e-123
7.365377118061926e-18,0.0004434385066666667,0.2,0.0,0.0013050394911458753,0.1999999999975846,0.199999999989875,0.19999999999991924,0.19999999998106252,2.78852593729536e-54,5.0231534563693885e-42,8.716919674807802e-76,8.841547364902437e-100,4.8308475992622615e-12,1.1109869601263186e-18,1.8059873293034806e-31,1.893748808162981e-11,1.0125012743880043e-11,8.077537305710193e-14,5.731460813557227e-34,1.8832570810023098e-29,2.3352734867407087e-30,5.973519553466961e-53,9.663765061983613e-46,5.2989498340586665e-61,7.5977556073114515e-62,7.962654366794016e-74,1.1736606126602905e-102,1.250427350648834e-58,2.3689170232879314e-84,2.42628059384284e-87,1.0232590939384798e-86,1.9374203655334084e-90,-1.4668761643557963e-128,-1.507726293133366e-123,6.078375027897985e-119
1.473075501658738e-17,0.0004434385066666667,0.2,0.0,0.0013050394571717512,0.19999999999516918,0.19999999997975,0.19999999999983847,0.19999999996212506,5.584937361407572e-54,1.0046367509160518e-41,4.4599909956963275e-73,1.8095020848998335e-96,9.661695374977546e-12,2.2219739608433087e-18,7.224086122806275e-31,3.787497457954643e-11,2.0250026207940772e-11,1.6155056405671708e-13,4.585168999205309e-33,1.505852448602658e-28,1.8679824117132337e-29,1.1706953756685638e-51,3.0908816719001e-44,6.777982776063055e-59,9.720351524372283e-60,4.0748764404603465e-71,9.605827105865212e-99,1.5997615655466204e-56,1.2120889892576883e-81,4.964972333421196e-84,2.0937171993127047e-83,3.9651048003560326e-87,-1.7955687745844668e-123,-1.8455643278283073e-118,1.9894130356768798e-114
2.209613291511283e-17,0.0004434385066666667,0.2,0.0,0.0013050394231976304,0.19999999999275375,0.19999999996962498,0.1999999999997577,0.19999999994318757,8.411653142011925e-54,1.5069761898387676e-41,3.881625641703857e-72,1.1552176805874274e-95,1.4492542899111268e-11,3.332960903705113e-18,1.5351413388796467e-30,5.6812458384661964e-11,3.037503940747324e-11,2.423256120940797e-13,1.361222058049822e-32,4.46928649698516e-28,5.545322896405203e-29,5.3189964323750785e-51,1.4784642028597194e-43,4.556301024245714e-58,6.534597390205607e-59,3.5466100768734575e-70,1.2195586692953594e-97,1.0754547921462665e-55,1.0549171686490543e-80,3.169795086867637e-83,2.2397964306617076e-82,2.531392037970515e-86,1.1874016449866564e-115,1.2204376061622796e-110,1.032379694109784e-113
2.946151081363828e-17,0.0004434385066666667,0.2,0.0,0.0013050393892235133,0.19999999999033832,0.19999999995949996,0.19999999999967694,0.19999999992425008,1.1326827144950277e-53,2.009362155951402e-41,2.318595260449874e-71,1.3423484560600405e-94,1.932339017166342e-11,4.44394778870772e-18,2.6188088458167624e-30,7.57499394969768e-11,4.050005234247748e-11,3.231005171694392e-13,2.966031195016435e-32,9.735962034173568e-28,1.2082586529118665e-28,1.7242123805934845e-50,4.892293001374942e-43,2.0960014941646363e-57,3.0061814746348954e-58,2.1185567685808088e-69,1.0771897588378397e-96,4.9475316552772006e-55,6.301370183237733e-80,3.683056002675924e-82,1.6552910394076108e-81,2.941445799390308e-85,9.195772859672514e-115,9.451616988784308e-110,3.201362758573714e-112
4.4192266610689185e-17,0.0004434385066666667,0.2,0.0,0.0013050393212752863,0.19999999998550747,0.19999999993924994,0.19999999999951537,0.19999999988637512,1.7915960182813676e-53,3.014482638383442e-41,5.4626610489925095e-70,1.196200567265818e-92,2.8985084126321127e-11,6.6659214229052235e-18,5.422057990956153e-30,1.1362489540176918e-10,6.075007759165445e-11,4.846499917978635e-13,8.609473255158386e-32,2.8249322594018924e-27,3.507051684638901e-28,9.914522117612222e-50,2.8533367361176213e-42,2.5524134070097366e-56,3.6609538776640726e-57,4.9915866329288305e-68,6.956536210909439e-95,6.025150113024221e-54,1.4846865023747432e-78,3.281801310588909e-80,6.765528630403326e-80,2.6211965438885178e-83,2.772474879476257e-113,2.849610209216027e-108,1.9020227483095775e-109
5.892302240774008e-17,0.0004434385066666667,0.2,0.0,0.0013050392533270716,0.1999999999806766,0.19999999991899992,0.1999999999993538,0.19999999984850017,2.6805975082886315e-53,4.020489097307711e-41,3.4158420007521627e-69,1.0785691764919517e-91,3.8646777155823564e-11,8.887894844293978e-18,9.221749582365155e-30,1.5149984140417593e-10,8.100010186806697e-11,6.46198940706086e-13,1.8827946295402288e-31,6.175642658025436e-27,7.669272727380436e-28,3.2853980794495182e-49,9.4911692781004e-42,1.1799548562989865e-55,1.6925442628390241e-56,3.1213774355929455e-67,7.234255808042716e-94,2.7855682501815966e-53,9.28417715875017e-78,2.95901514399345e-79,5.55726100358305e-79,2.3634345902996986e-82,2.643177117510214e-112,2.7167150658383242e-107,3.152688677612147e-108
7.365377820479098e-17,0.0004434385066666667,0.2,0.0,0.0013050391853788705,0.19999999997584575,0.1999999998987499,0.1999999999991923,0.19999999981062522,4.151385992726365e-53,5.028455885074429e-41,1.6473818447934974e-68,7.873906041809504e-91,4.830846919408817e-11,1.1109868037645861e-17,1.4089139913969498e-29,1.893747767968863e-10,1.0125012510223203e-10,8.07747326344331e-13,3.5323788175602777e-31,1.158206299733978e-26,1.438814505386241e-27,8.841838971849145e-49,2.558488270018821e-41,4.323477732272541e-55,6.202025221866121e-56,1.505460066233792e-66,5.866581390957547e-93,1.0207220144314429e-52,4.4777465140554956e-77,2.160115480807178e-78,3.50788665534727e-78,1.7253841760977923e-81,1.727090633313054e-111,1.7751412361730676e-106,4.3490870374988946e-107
