Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144)
7.405871988313881e-19,0.0033257888,0.2,0.0,0.009787796434216138,0.19999999999970258,0.19999999999875315,0.19999999999999007,0.1999999999976679,5.358690903035548e-41,1.5770155420473644e-33,2.7709031255553957e-82,1.147305639031058e-105,5.949085270300578e-13,9.06454449492272e-18,5.797632782893826e-29,2.3321110884365777e-12,1.2468825199823453e-12,9.947324893031594e-15,4.174541894374645e-34,4.219048182204786e-32,2.667114215931098e-32,1.0226200522615268e-45,1.8493614421617742e-48,1.0346673772366673e-65,1.2054861155485371e-63,1.4043528773630229e-78,1.5269420024077881e-105,3.951416841183222e-64,2.994893589688731e-88,3.4383884098177568e-96,1.5086749379058133e-87,1.421880151386727e-97,4.5316810098907146e-120,3.815231296428409e-118
1.4811750254668557e-18,0.0033257888,0.2,0.0,0.009787796430032277,0.19999999999940513,0.19999999999750628,0.1999999999999801,0.1999999999953358,1.0717386348629735e-40,3.1540324209088316e-33,1.4030482018928127e-79,6.464195930746324e-102,1.1898175576914429e-12,1.8129096663628256e-17,2.319054904851481e-28,4.66422391752607e-12,2.4937660898705635e-12,1.9894657106478752e-14,3.339636803803437e-33,3.3402479917654463e-31,2.0996912896783833e-31,4.0903779125437147e-45,5.854575326978204e-47,1.3097910241763804e-63,1.9887799433318667e-62,9.266437454985673e-77,1.5462938743736646e-102,5.003237913046375e-62,1.5164709330503973e-85,1.8610666534250028e-92,3.8195253627916395e-85,8.01121476528069e-94,4.531679499591291e-120,3.8152300249624283e-118
2.9623506787377905e-18,0.0033257888,0.2,0.0,0.009787796421664554,0.1999999999988102,0.19999999999501253,0.1999999999999602,0.19999999999067158,2.143477723962679e-40,6.308066178512758e-33,7.138022845854274e-77,1.3158927569044019e-98,2.3796356169762895e-12,3.625820097003895e-17,9.276225106467579e-28,9.328448866793398e-12,4.987533208375693e-12,3.978931819724215e-14,2.671710740869648e-32,2.6569857304986717e-30,1.6661251525664674e-30,1.6360678692216016e-44,1.8624985270215524e-45,1.6659098414899845e-61,3.973323588449164e-61,7.400965416716736e-75,1.5733357310811066e-99,6.366411034734742e-60,7.715065200835888e-83,3.757755148996522e-89,9.715849077802532e-83,1.6308137269481747e-90,4.530140976450797e-120,3.813934739483332e-118
5.924701985279661e-18,0.0033257888,0.2,0.0,0.00978779640492911,0.1999999999976204,0.19999999999002502,0.19999999999992038,0.19999999998134313,4.286955902085575e-40,1.261613369324469e-32,3.63730947086436e-74,2.6821534011020228e-95,4.759271727394288e-12,7.251640945885509e-17,3.71049266293719e-27,1.8656895929682273e-11,9.97506736030073e-12,7.957862703424973e-14,2.137369083844749e-31,2.11756126952181e-29,1.3274044383789376e-29,6.5436051445286e-44,5.937097517222531e-44,2.12224149190263e-59,1.6472445015010817e-59,1.2255692304390805e-72,1.603435120559037e-96,8.117565380740397e-58,3.9313487414930466e-80,7.627747168778674e-86,2.4754347574813567e-80,3.3240494253164453e-87,2.961385100219666e-120,2.493195900289876e-118
8.887053291821531e-18,0.0033257888,0.2,0.0,0.009787796388193671,0.19999999999643056,0.1999999999850375,0.19999999999988055,0.19999999997201467,6.4304340801319975e-40,1.892420120750093e-32,3.163647110856554e-73,1.7118492533404448e-94,7.138907829660589e-12,1.0877461782366108e-16,7.884800844943578e-27,2.798534015692623e-11,1.4962601427140547e-11,1.1936792252674255e-13,6.345314850609725e-31,6.27770983916514e-29,3.9360483707292554e-29,1.3904187892568336e-43,2.837608446298181e-43,1.4254727464531347e-58,9.64186592476837e-59,9.56743866742656e-72,1.552121619030303e-95,5.45383857520605e-57,3.419394904688216e-79,4.87166363479178e-85,1.903724382791117e-79,2.1215309745467824e-86,3.421376828961012e-111,2.880463988292099e-109
1.1849404598363402e-17,0.0033257888,0.2,0.0,0.009787796371458235,0.19999999999524073,0.19999999998005,0.19999999999984072,0.19999999996268622,8.573912258102048e-40,2.523226872128201e-32,1.8886398771925234e-72,1.9879122934987386e-93,9.518543923775191e-12,1.4503282606445197e-16,1.345054897441329e-26,3.731378154852613e-11,1.9950135408895158e-11,1.5915720467472508e-13,1.3826107481344859e-30,1.3665043301430927e-28,8.570786748060493e-29,2.371739638098194e-43,9.383445941106781e-43,6.552982606580329e-58,4.076629949425627e-58,5.282997468456529e-71,1.0014415678798957e-94,2.507610150769874e-56,2.0413163215647484e-78,5.648669247751624e-84,9.517288923824888e-79,2.4636617382184918e-85,1.7881027749431233e-110,1.5054072989126172e-108
1.7774107211447143e-17,0.0033257888,0.2,0.0,0.009787796337987367,0.1999999999928611,0.199999999970075,0.19999999999976106,0.19999999994402934,1.2860868613863824e-39,3.7848403747733467e-32,4.4443435534001845e-71,1.7690239543823443e-91,1.4277816092872853e-11,2.1754924225495852e-16,2.784767745955898e-26,5.5970657676645625e-11,2.992520317271459e-11,2.3873573765195527e-13,4.013292554337607e-30,3.961001169423777e-28,2.4861049052363382e-28,4.909878384904762e-43,5.4665237585605645e-42,7.969355594729966e-57,4.5504210374086195e-57,1.1196944559978306e-69,2.578062099209812e-93,3.0502374394178214e-55,4.803620449991779e-77,5.018542456591636e-82,1.2647337155129037e-77,2.1923887899209773e-83,1.2665619720509255e-109,1.0663210549276552e-107
2.3698809824530884e-17,0.0033257888,0.2,0.0,0.00978779630451651,0.1999999999904815,0.1999999999601,0.1999999999996814,0.19999999992537246,1.71478249693478e-39,5.046453877245091e-32,2.7775142341317887e-70,1.5941648728906144e-90,1.903708823199379e-11,2.9006565798936823e-16,4.736164664161685e-26,7.462752337709772e-11,3.990027062364536e-11,3.1831422155669864e-13,8.77661820179509e-30,8.652711324658456e-28,5.4346729583087225e-28,8.349621294658624e-43,1.8173127205529248e-41,3.6814873540746166e-56,2.0638804900785e-56,6.840024556387034e-69,1.71305911776137e-92,1.409534796820735e-54,3.002045546228318e-76,4.521113374722268e-81,6.6299292869102136e-77,1.975682230902504e-82,8.776219395255458e-109,7.388716644134834e-107
2.962351243761462e-17,0.0033257888,0.2,0.0,0.009787796271045665,0.19999999998810186,0.19999999995012502,0.19999999999960175,0.19999999990671563,2.143478132453902e-39,6.30806737953293e-32,1.3386925854381497e-69,1.162978296913182e-89,2.379636033899679e-11,3.625820732350688e-16,7.235795836520017e-26,9.328437790505478e-11,4.9875337739338287e-11,3.9789265288380733e-13,1.6466130100803552e-29,1.621627050818106e-27,1.0193422945174125e-27,1.2755147961705836e-42,4.896108428687221e-41,1.3480507838438855e-55,7.481313126102882e-56,3.252475026082036e-68,9.172200318715931e-92,5.162678059512779e-54,1.4469106266147606e-75,3.2972614949710158e-80,2.6638292545691532e-76,1.4413035903166489e-81,3.827011704258713e-108,3.2219688003809684e-106
4.14729176637821e-17,0.0033257888,0.2,0.0,0.009787796204104011,0.19999999998334259,0.19999999993017503,0.19999999999944246,0.19999999986940195,3.000869403411667e-39,8.831294383569898e-32,6.8045652433054906e-68,1.4892999205410666e-87,3.3314904454631454e-11,5.076149022294207e-16,1.391420654791023e-25,1.3059805274173154e-10,6.982547094395312e-11,5.57049354502701e-13,4.5054330410701104e-29,4.42453690572854e-27,2.7879737690005175e-27,2.4523189291518812e-42,2.8775990933593714e-40,2.075642657859523e-54,1.1399044706521261e-54,1.621496848318841e-66,8.313870548211125e-90,7.964852770892329e-53,7.354618925156417e-74,4.2201205396569217e-78,6.782242860700545e-75,1.845720852046034e-79,5.060463527480493e-108,4.260414355538048e-106
