Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123),C2H4O2(73),SX(104),SX(148)
9.604314519683752e-19,0.002217192533333333,0.2,0.0,0.006525197621169836,0.19999999999968507,0.19999999999867973,0.1999999999999895,0.1999999999975306,7.272039389550781e-56,1.3100191794284804e-43,1.5214284288752508e-86,1.8842962381121958e-113,6.299335467153737e-13,1.4487063434784463e-19,3.070786704427642e-33,2.4694133668376245e-12,1.3202828178139186e-12,1.0532968960917569e-14,2.5416147075320997e-37,8.356124886804876e-33,1.0368825645172617e-33,8.99998032224561e-56,1.458189685357687e-51,2.719601753997784e-69,3.898911303189708e-70,1.389598625908962e-84,3.268645337839827e-116,6.416512530996216e-67,4.134602613039284e-95,5.182990439377803e-101,8.378623454096937e-98,4.1293761289861564e-104,7.104128780094585e-133,7.301787140225434e-128,1.924727829690722e-138,1.4482480839113117e-108,9.685085544452398e-91,1.8030822066072394e-119
1.9208637181052704e-18,0.002217192533333333,0.2,0.0,0.00652519761673967,0.1999999999993701,0.19999999999735946,0.19999999999997897,0.19999999999506118,1.4544085100231621e-55,2.6200394702466745e-43,7.78833070443747e-84,3.858351655676856e-110,1.259867626290675e-12,2.897413912418522e-19,1.2283160583266578e-32,4.938828774916248e-12,2.6405667536298293e-12,2.1065943647693533e-14,2.0332937742500158e-36,6.683893724024178e-32,8.289165435032841e-33,3.613953907563738e-55,4.665497924841461e-50,3.480471097993302e-67,4.989673086166173e-68,7.113413269565429e-82,1.3085044632843367e-112,8.211887695517789e-65,2.1165409600352578e-92,1.0599608997814791e-97,8.38551428076571e-95,8.455456685897785e-101,1.422315189812986e-129,1.461888206651057e-124,6.304550849390732e-134,2.966230981725511e-105,4.957882610322142e-88,1.4768225888065928e-115
3.8417282503790606e-18,0.002217192533333333,0.2,0.0,0.006525197607879336,0.19999999999874016,0.1999999999947189,0.1999999999999579,0.19999999999012236,2.9088186334884685e-55,5.240080079879194e-43,3.9867433627030217e-81,2.199586456027537e-106,2.51973578201585e-12,5.794829042429561e-19,4.913270560101989e-32,9.877659434748163e-12,5.281134621611943e-12,4.213188341207355e-14,1.6266358194718637e-35,5.346201224283329e-31,6.628929873627974e-32,1.4904900122305562e-54,1.4927053943817538e-48,4.4540163410727155e-65,6.385669168042086e-66,3.641433396648267e-79,5.397128902478224e-109,1.050943203570243e-62,1.0834297543344178e-89,6.03718501728856e-94,8.646899467124348e-92,4.820042542335568e-97,1.4216758397663237e-129,1.4612306851941685e-124,4.479462056199448e-128,6.087428349283777e-102,2.5378729839807148e-85,3.367194725436228e-111
7.683457314926641e-18,0.002217192533333333,0.2,0.0,0.006525197590158672,0.19999999999748028,0.19999999998943777,0.19999999999991577,0.1999999999802447,5.817701506859912e-55,1.0480162197702926e-42,2.0404464731719824e-78,4.504471218203974e-103,5.039472079764486e-12,1.158965927097434e-18,1.9653123483466823e-31,1.9755320129110707e-11,1.0562270342977342e-11,8.4263724504181e-14,1.3013089704987991e-34,4.2757777809710316e-30,5.302111807235207e-31,7.40064122729541e-54,4.775352206448161e-47,5.698998749017308e-63,8.171425611093274e-64,1.8639049859583633e-76,2.2707086505404617e-105,1.3448409926141661e-60,5.545087819007813e-87,1.2360971408988034e-90,9.0949660465438e-89,9.870829408354342e-94,-1.2038772243257991e-129,-1.2373727389271903e-124,1.4669218007850723e-123,1.2497159503930164e-98,1.2989020416939934e-82,2.758449338059187e-107
1.5366915444021803e-17,0.002217192533333333,0.2,0.0,0.006525197554717344,0.19999999999496054,0.1999999999788755,0.1999999999998315,0.1999999999604894,1.1639468055930184e-54,2.0960355184350125e-42,1.0439596814159484e-75,9.218541136400509e-100,1.00789446204549e-11,2.3179319602147855e-18,7.8612805135694205e-31,3.951063901663094e-11,2.112454172731282e-11,1.685272529420651e-13,1.0410472943289357e-33,3.418841757858804e-29,4.241162853386765e-30,7.564084409388207e-53,1.5273291887054023e-45,7.28948373611995e-61,1.0454079227892312e-61,9.538315057423515e-74,9.822512762046282e-102,1.7205171596075488e-58,2.8370692050040963e-84,2.5293970037718854e-87,9.835696516528422e-86,2.0200960893437276e-90,-1.0799135816004901e-125,-1.1099589761902236e-120,4.800906557393243e-119,2.5718136343107453e-95,6.645598505901901e-80,2.2581014221410706e-103
2.3050373573116964e-17,0.002217192533333333,0.2,0.0,0.006525197519276019,0.1999999999924408,0.19999999996831322,0.19999999999974724,0.19999999994073409,1.7476855051468183e-54,3.1440637280367155e-42,9.085747537791656e-75,5.885260586323713e-99,1.5118417106338455e-11,3.4768979807396226e-18,1.670527306725117e-30,5.926595540294662e-11,3.168681305325299e-11,2.52790627633898e-13,3.0906092456794404e-33,1.0146816804863938e-28,1.2590388571042437e-29,3.0063663049099845e-52,7.305631640225639e-45,4.900103138136933e-60,7.027813908515756e-61,8.301733525196265e-73,1.1590756986344647e-100,1.156627430579835e-57,2.469151736314983e-83,1.614841747366214e-86,9.64208533369309e-85,1.2896894659645293e-89,1.044164978884018e-118,1.0732157542330305e-113,2.4914062549762102e-118,2.741745276272114e-94,5.783771451006801e-79,1.8930005937323005e-102
3.0733831702212125e-17,0.002217192533333333,0.2,0.0,0.006525197483834698,0.19999999998992107,0.19999999995775095,0.19999999999966298,0.19999999992097878,2.3359837844805547e-54,4.192114928017687e-42,5.427117895072284e-74,6.838555844349453e-98,2.0157889537415145e-11,4.635863988671034e-18,2.8497316817294063e-30,7.902126928805809e-11,4.224908432079785e-11,3.370538485799595e-13,6.734274971064793e-33,2.2103751821805266e-28,2.7432927459855576e-29,9.164851114596421e-52,2.4174416371477235e-44,2.254140934995208e-59,3.2330621119898103e-60,4.958992273193992e-72,9.223757634357496e-100,5.320927244981899e-57,1.474882870865958e-82,1.8763098213223686e-85,6.247313519611371e-84,1.498563545557644e-88,7.053062127149076e-118,7.249291414198535e-113,7.72547913747521e-117,2.033886979058916e-93,3.45477183738648e-78,2.12993232408059e-101
4.610074796040245e-17,0.002217192533333333,0.2,0.0,0.006525197412952061,0.1999999999848816,0.1999999999366264,0.19999999999949444,0.19999999988146816,3.55169146073575e-54,6.288389553849758e-42,1.2786216799561607e-72,6.0939088137871054e-96,3.023683427094015e-11,6.953795974974287e-18,5.9000405330170785e-30,1.185318911881088e-10,6.337362671883735e-11,5.055799296410385e-13,1.9547522941578305e-32,6.413392877668518e-28,7.96258660292374e-29,5.0326480517308205e-51,1.4099025046882162e-43,2.7449391698167346e-58,3.937189409543138e-59,1.1683860062254957e-70,4.2171156907944035e-98,6.479771596150836e-56,3.4748398572214793e-81,1.6718646788051507e-83,1.6738210407189548e-82,1.335360414345404e-86,1.2674845457732256e-116,1.30274810081627e-111,4.589747415946133e-114,8.433525446663642e-92,8.139373400962543e-77,3.2797878691429108e-99
6.146766421859276e-17,0.002217192533333333,0.2,0.0,0.0065251973420694335,0.19999999997984214,0.19999999991550185,0.1999999999993259,0.19999999984195754,4.8859963162103315e-54,8.385101955393251e-42,7.995249727504281e-72,5.49460382829505e-95,4.031577880292072e-11,9.271727914957972e-18,1.0034479650240187e-29,1.5804250389034212e-10,8.449816890213654e-11,6.741054453264049e-13,4.274822800503672e-32,1.402024021457669e-27,1.741269060171643e-28,1.6461428304280312e-50,4.689768879297461e-43,1.2689438496643428e-57,1.8202407761684407e-58,7.306193096732268e-70,3.7715797155804155e-97,2.995727444793648e-55,2.1728415592198886e-80,1.5074131562523423e-82,1.2121984669060431e-81,1.2040327801612754e-85,1.1275539777389608e-115,1.1589244623537788e-110,7.607586826834669e-113,6.963101965280721e-91,5.089561571015099e-76,3.6229411484992075e-98
7.683458047678309e-17,0.002217192533333333,0.2,0.0,0.006525197271186818,0.19999999997480267,0.1999999998943773,0.19999999999915738,0.19999999980244693,6.520176183795442e-54,1.0482782972863059e-41,3.855887838934456e-71,4.0111972819561276e-94,5.039472311896079e-11,1.1589659805307295e-17,1.5330505298539978e-29,1.9755310673777312e-10,1.0562271085535681e-10,8.426303552539497e-13,8.02014931896578e-32,2.6293738437683898e-27,3.266751737639659e-28,4.403759465019818e-50,1.2641838750001565e-42,4.649492970216848e-57,6.66989360748812e-58,3.5237994629839515e-69,2.7029649045661554e-96,1.0977222004213969e-54,1.0479116844499443e-79,1.1004167311961236e-81,6.630335674281175e-81,8.789720998628376e-85,6.429385943129627e-115,6.608261645136125e-110,1.049434835580997e-111,4.422815361268859e-90,2.4545507339071526e-75,3.2212816369993437e-97
