Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24)
6.573639823797627e-19,0.0033257888,0.2,0.0,0.0097877964346863,0.199999999999736,0.19999999999889326,0.19999999999999118,0.19999999999792997,4.756509966581281e-41,1.3997989954894205e-33,9.493267568049944e-83,3.1005226043542635e-106,5.280558982417476e-13,8.04591961274132e-18,4.56783181932508e-29,2.0700409669431826e-12,1.1067645517645671e-12,8.829497940419061e-15,2.9194291240594603e-34,2.9581749709578596e-32,1.8727461617282825e-32,8.0570296967968e-46,1.0217171192903761e-48,4.503902691034116e-66,7.474873762578891e-64,6.860861119928121e-79,1.7629527180481583e-130
1.3147285220143503e-18,0.0033257888,0.2,0.0,0.0097877964309726,0.19999999999947196,0.1999999999977865,0.19999999999998236,0.19999999999585993,9.513023965259191e-41,2.799599177572903e-33,4.800851631187524e-80,1.7445148396888389e-102,1.056112243587194e-12,1.609184603795763e-17,1.827134111276589e-28,4.140083502504548e-12,2.2135300361594635e-12,1.7659002489547208e-14,2.3355456000396753e-33,2.3391409238718183e-31,1.4714126807209897e-31,3.222740562291623e-45,3.230360281219281e-47,5.694338027255564e-64,1.2214601064831187e-62,4.483939103951877e-77,1.9835371008556644e-126
2.6294576012835253e-18,0.0033257888,0.2,0.0,0.009787796423545195,0.1999999999989439,0.199999999995573,0.19999999999996468,0.19999999999171986,1.9026051962464274e-40,5.599199541646105e-33,2.4410922742027495e-77,3.5492955191224293e-99,2.1122249326724504e-12,3.2183698863965785e-17,7.308540543517075e-28,8.280168015090801e-12,4.427060988190045e-12,3.5318008959336625e-14,1.868437389488354e-32,1.859597829851512e-30,1.1663991573426377e-30,1.289037998907296e-44,1.0270547120916565e-45,7.238594090776937e-62,2.297598114106021e-61,3.3713931165893655e-75,8.072460737876579e-123
5.2589157598218755e-18,0.0033257888,0.2,0.0,0.009787796408690392,0.1999999999978878,0.19999999999114595,0.19999999999992932,0.19999999998343967,3.805210795627155e-40,1.1198400269417509e-32,1.243775353922867e-74,7.233715692191583e-96,4.224450304420416e-12,6.436740441828165e-17,2.9234181021422342e-27,1.6560334806117997e-11,8.854122825214369e-12,7.063601138505103e-14,1.4947502580021345e-31,1.4817860796912367e-29,9.287992867029037e-30,5.15568547430576e-44,3.2733007070570826e-44,9.220485400237632e-60,8.069422642837142e-60,4.726118572521337e-73,3.2904480920499047e-119
7.888373918360226e-18,0.0033257888,0.2,0.0,0.009787796393835589,0.1999999999968317,0.1999999999867189,0.19999999999989396,0.19999999997515955,5.707816394947615e-40,1.679760099681405e-32,1.0818188607537304e-73,4.616849972588539e-95,6.336675669745833e-12,9.655110987489367e-17,6.212266252436041e-27,2.48404993630005e-11,1.328118459520185e-11,1.0595400329690422e-13,4.437540101196131e-31,4.392821757935919e-29,2.753698942825399e-29,1.0955149336056805e-43,1.5644318543148197e-43,6.19333263371808e-59,4.536660305169749e-59,3.5761762718558403e-72,2.4286266694604855e-118
1.0517832076898576e-17,0.0033257888,0.2,0.0,0.00978779637898079,0.1999999999957756,0.19999999998229187,0.1999999999998586,0.1999999999668794,7.610421994207861e-40,2.2396801723836012e-32,6.458345701560474e-73,5.361454658749244e-94,8.4489010286487e-12,1.2873481523379835e-16,1.0597399846393123e-26,3.3120661685738904e-11,1.7708246298152497e-11,1.412719846948992e-13,9.669166606991736e-31,9.562271736137711e-29,5.995741048211979e-29,1.868713295207699e-43,5.1732975495448156e-43,2.8471593895738113e-58,1.864533581075314e-58,1.925174452875188e-71,2.6810646906043676e-117
1.5776748393975278e-17,0.0033257888,0.2,0.0,0.009787796349271197,0.19999999999366339,0.19999999997343781,0.1999999999997879,0.19999999995031906,1.14156331925875e-39,3.3595203177003304e-32,1.5198312530404933e-71,4.7712756110450077e-92,1.26733517313811e-11,1.9310222572228099e-16,2.1940587347688988e-26,4.968098108781812e-11,2.656236954672244e-11,2.1190792281551735e-13,2.8066608405533547e-30,2.7719179154977566e-28,1.7390305776243832e-28,3.868574624248141e-43,3.013954515459747e-42,3.462730599467217e-57,2.014555617911315e-57,3.926015895852399e-70,2.4892693995374334e-115
2.1035664711051978e-17,0.0033257888,0.2,0.0,0.009787796319561611,0.19999999999155116,0.19999999996458376,0.1999999999997172,0.19999999993375878,1.522084439074727e-39,4.4793604628800504e-32,9.498589764317646e-71,4.29979343619246e-91,1.6897802410495477e-11,2.574696358514245e-16,3.731522123050734e-26,6.624129227415763e-11,3.541649254877404e-11,2.82543822272955e-13,6.137850738941245e-30,6.055606903096604e-28,3.8013926047376214e-28,6.578865206071964e-43,1.002008572925123e-41,1.599726751234796e-56,9.068137711609027e-57,2.376418463782026e-69,2.457494323335821e-114
2.629458102812868e-17,0.0033257888,0.2,0.0,0.009787796289852034,0.19999999998943893,0.1999999999557297,0.19999999999964652,0.19999999991719847,1.9026055588673945e-39,5.599200607914011e-32,4.578335834687114e-70,3.1369908437780786e-90,2.1122253064304823e-11,3.2183704559553827e-16,5.700927119834728e-26,8.28015946579229e-11,4.4270615286698854e-11,3.5317968030557717e-13,1.1515443271674979e-29,1.1349931573738494e-27,7.129810632572058e-28,1.0050164710530081e-42,2.699703540816575e-41,5.858092084376486e-56,3.2730401079149638e-56,1.12363241563152e-68,1.8695675009435118e-113
3.681241366228208e-17,0.0033257888,0.2,0.0,0.00978779623043291,0.19999999998521448,0.1999999999380216,0.19999999999950513,0.19999999988407788,2.6636477983859588e-39,7.838880897549057e-32,2.32847239757646e-68,4.0195223720517755e-88,2.957115429441884e-11,4.505718639043341e-16,1.0962700094887308e-25,1.1592217246483146e-10,6.197885995357732e-11,4.944512694944501e-13,3.1508349902226715e-29,3.097614620838224e-27,1.949999013385693e-27,1.9322730307022012e-42,1.587141214899661e-40,9.024614760729112e-55,4.962311975656575e-55,5.552893990258279e-67,4.899346359905315e-111
4.733024629643548e-17,0.0033257888,0.2,0.0,0.009787796171013824,0.19999999998099002,0.19999999992031348,0.19999999999936374,0.19999999985095732,3.424690037825619e-39,1.0078561186633114e-31,1.6591377289379693e-67,3.7316665967835968e-87,3.8020055421755575e-11,5.793066806489705e-16,1.797883044644745e-25,1.4904271451988114e-10,7.968710354769712e-11,6.357226904355055e-13,6.642343278948304e-29,6.515663987560294e-27,4.1097646047281746e-27,3.1684663132399346e-42,5.343615522910301e-40,4.5847598823723295e-54,2.516095728475151e-54,3.9482427875047555e-66,5.1780401296082303e-110
6.836591156474227e-17,0.0033257888,0.2,0.0,0.00978779605217576,0.19999999997254111,0.19999999988489725,0.19999999999908094,0.19999999978471636,4.9467745166574045e-39,1.4557921763475052e-31,7.318689706624654e-66,4.0244944277798364e-85,5.491785736814008e-11,8.367763094452837e-16,3.7273467994429615e-25,2.1528369138967416e-10,1.1510358751811362e-10,9.182650276461201e-13,2.0261205894561225e-28,1.977393165843305e-26,1.253118667482433e-26,6.567808698774508e-42,3.6370124475050704e-39,7.603886918479332e-53,4.177826100521592e-53,1.7426221243170068e-64,9.830097131645812e-108
1.1043724210135588e-16,0.0033257888,0.2,0.0,0.00978779581450008,0.19999999995564333,0.1999999998140648,0.19999999999851534,0.19999999965223483,7.990943479144962e-39,2.35166429171189e-31,8.802730288035726e-64,1.2388195203027572e-82,8.871346002775998e-11,1.3517155482588913e-15,9.69123706279462e-25,3.477652161726603e-10,1.8593654258775886e-10,1.4833476834037326e-12,8.791508781000102e-28,8.486236671525864e-26,5.434236677096969e-26,1.7088792608704787e-41,4.533455150051421e-38,2.889037623840258e-51,1.5992655940035088e-51,2.1114732431307997e-62,6.021343728770098e-105
1.9457990317458308e-16,0.0033257888,0.2,0.0,0.0097877953391505,0.19999999992184772,0.19999999967239998,0.19999999999738413,0.1999999993872735,1.4079281618945584e-38,4.143408534132296e-31,1.9773254652500228e-61,8.227210400796358e-80,1.5630466041442102e-10,2.381593950711418e-15,3.0039029202815942e-24,6.127265499366869e-10,3.276024012427561e-10,2.6135049203844604e-12,4.97033141399869e-27,4.690781479529056e-25,3.0693095627025814e-25,5.344363643125551e-41,8.496063663908485e-37,1.8505524081186798e-49,1.0412686592973424e-49,4.820275974753302e-60,7.989120561898224e-102
3.628652253210375e-16,0.0033257888,0.2,0.0,0.009787794388458462,0.1999999998542565,0.1999999993890705,0.1999999999951218,0.1999999988573577,2.625596796953826e-38,7.7268973607137915e-31,6.186496265710874e-59,1.1511161117320653e-76,2.914870414572617e-10,4.441350454445581e-15,1.0441646412571976e-23,1.1426423543453266e-09,6.109339126160288e-10,4.873787096662811e-12,3.304910211635676e-26,2.984067351624681e-24,2.037224334587034e-24,1.994421585455801e-40,1.986297548560134e-35,1.554765989664778e-47,9.034659677119492e-48,1.556993698348653e-57,2.234522828838984e-98
6.994358696139463e-16,0.0033257888,0.2,0.0,0.009787792487102868,0.19999999971907417,0.19999999882241246,0.19999999999059728,0.19999999779755354,5.060985275956605e-38,1.4893884210406338e-30,2.212528935317997e-56,1.554057210740371e-73,5.618517246195877e-10,8.560862253451542e-15,3.879133423193553e-23,2.2024465113568896e-09,1.1775961116182457e-09,9.39422226196237e-12,2.403482858779464e-25,1.9960285345386744e-23,1.4764188103179006e-23,1.1356086906545748e-39,5.0952504126829695e-34,1.44307162098395e-45,8.917678286803306e-46,5.9182184837526925e-55,6.033501579926048e-95
