Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123),C2H4O2(73),SX(104)
8.4734731738611395e-19,0.0005542981333333334,0.2,0.0,0.001631299402030114,0.19999999999968934,0.19999999999869772,0.19999999999998963,0.1999999999975642,3.1117001983301086e-46,7.149599572633267e-37,5.045825172701552e-81,4.457858115689196e-105,6.213621966434941e-13,1.769116985041943e-18,1.1888765711800873e-30,2.4358126291084003e-12,1.3023196835392664e-12,1.0389650133932645e-14,1.2045413855423118e-34,1.199120883920525e-31,3.2451600156480234e-32,4.842324347432157e-49,3.158422711927502e-48,6.115084424891944e-65,2.0937067005514597e-65,2.0843628969872175e-79,2.173083792846336e-107,4.8380519480287265e-63,4.635679207806105e-88,1.5234308477403716e-94,5.694738540756433e-90,1.6653368047378581e-96,8.937151124213322e-123,1.3344279162699828e-119,1.1993172753725328e-129,9.18548343915637e-102,6.344993886427419e-85
1.6946953530780578e-18,0.0005542981333333334,0.2,0.0,0.0016312993976602247,0.19999999999937867,0.1999999999973954,0.19999999999997925,0.1999999999951284,6.223403034445511e-46,1.429920520587644e-36,2.5788090466008725e-78,2.5370220254044672e-101,1.2427249155827618e-12,3.538235457146384e-18,4.7555158681870635e-30,4.87162717788877e-12,2.604640465885379e-12,2.0779307216952456e-14,9.636340561396759e-34,9.577183876344242e-31,2.58192969263372e-31,1.9368917255887294e-48,1.0089859205896448e-46,7.813227189682369e-63,2.516764178930196e-63,1.0017534370624135e-76,2.5638003388356397e-104,6.1821648736024713e-61,2.369192541918136e-85,8.551063220654162e-91,1.679818586086728e-87,9.476669753645129e-93,8.937067510224787e-123,1.3344154292334243e-119,8.47069711022627e-124,1.879113416286108e-98,3.2427833192246076e-82
3.3893914244619455e-18,0.0005542981333333334,0.2,0.0,0.0016312993889204463,0.1999999999987573,0.19999999999479076,0.19999999999995846,0.19999999999025678,1.2446808706602994e-45,2.8598416471860303e-36,1.31864159206922e-75,5.1907288467558025e-98,2.4854503401414913e-12,7.076472363441093e-18,1.90221219996743e-29,9.743255839868177e-12,5.2092820150251095e-12,4.155861580798383e-14,7.70907617617689e-33,7.65350074932217e-30,2.0598402481141206e-30,7.747648006266607e-48,3.2252183184973314e-45,9.987996095491732e-61,3.1925236509883755e-61,5.082588751175493e-74,4.026616026316059e-101,7.904467229484102e-59,1.2114568463646452e-82,1.7447077086043226e-87,6.597053373553946e-85,1.9389197906718113e-89,8.64958792583418e-123,1.2914911440020842e-119,2.769119854682536e-119,3.846716820219375e-95,1.65815457995691e-79
6.778783567229721e-18,0.0005542981333333334,0.2,0.0,0.0016312993714408914,0.19999999999751458,0.19999999998958148,0.19999999999991688,0.19999999998051352,2.4893620052957825e-45,5.719683900352646e-36,6.741780431993524e-73,1.0615394925300604e-94,4.9709011359797224e-12,1.415294602436907e-17,7.608891993241279e-29,1.9486511421501963e-11,1.0418565051094586e-11,8.31172106900254e-14,6.16726233008437e-32,6.116412674309453e-29,1.6455521208409834e-29,3.100377689643953e-47,1.0309915133726207e-43,1.2766327993647424e-58,4.078095798281853e-59,2.5969520821913588e-71,9.88968359019464e-98,1.0107142924022358e-56,6.193781198459012e-80,3.563019690700771e-84,4.051650169549683e-82,3.965223360208764e-86,-1.1128183290431114e-120,-1.661576292535932e-117,9.051388287417292e-115,7.880179600146898e-92,8.477579050637534e-77
1.0168175709997497e-17,0.0005542981333333334,0.2,0.0,0.001631299353961338,0.19999999999627185,0.1999999999843722,0.1999999999998753,0.19999999997077025,3.7340431408442926e-45,8.579526153898908e-36,5.866778904526398e-72,6.776667238403225e-94,7.45635187853872e-12,2.1229419533629252e-17,1.6168967259548995e-28,2.922976526081102e-11,1.562784802495409e-11,1.2467578327205752e-13,1.8309061100602055e-31,1.8149480390121565e-28,4.8832347989608633e-29,6.592865699237851e-47,4.93084442081894e-43,8.580410877567463e-58,2.7410782248849766e-58,2.2599834733065012e-70,1.1125682523811409e-96,6.793900901829505e-56,5.3899036619026454e-79,2.2750998965586235e-83,3.749710884883905e-81,2.531421376837083e-85,3.7262672267145325e-113,5.563780795524339e-110,4.6971715809378295e-114,8.420063651494677e-91,7.377289300217616e-76
1.3557567852765273e-17,0.0005542981333333334,0.2,0.0,0.0016312993364817868,0.19999999999502913,0.19999999997916293,0.19999999999983373,0.199999999961027,4.978724279123072e-45,1.1439368408780584e-35,3.503972846886927e-71,7.873421280741347e-93,9.941802567818477e-12,2.8305892891215275e-17,2.7582474904933897e-28,3.897301735779566e-11,2.0837130936603625e-11,1.6623433355409195e-13,3.989448150949318e-31,3.9531279172235717e-28,1.0637865447844933e-28,1.1260502895821422e-46,1.6314305131367146e-42,3.9466366243562866e-57,1.2608387166015208e-57,1.3498395125383822e-69,8.436330195712488e-96,3.1251576360070338e-55,3.2191562348064098e-78,2.641922094280228e-82,2.2922282707092097e-80,2.941010814375184e-84,2.3787030025183825e-112,3.5516996670830165e-109,1.4561479988760526e-112,6.229248393343834e-90,4.406133140096658e-75
2.0336352138300824e-17,0.0005542981333333334,0.2,0.0,0.0016312993015226884,0.19999999999254367,0.19999999996874437,0.1999999999997506,0.1999999999415405,7.468086579190415e-45,1.7159052929704867e-35,8.253452489074874e-70,7.014266695894743e-91,1.4912703821334853e-11,4.245883925039246e-17,5.710646631735303e-28,5.845951746263712e-11,3.1255696613899724e-11,2.493513817814678e-13,1.1580137428044925e-30,1.1467812404826496e-27,3.0870814712769112e-28,2.3424537744981025e-46,9.512857383800855e-42,4.804736717713566e-56,1.5350655126322958e-56,3.1796358637804206e-68,3.398751605090939e-94,3.8049868066940406e-54,7.582582802969532e-77,2.3522986092708918e-80,5.2773873957352737e-79,2.6199986915490064e-82,3.534545538870555e-111,5.2775164376330735e-108,8.646767066847798e-110,2.5567972925905727e-88,1.0378440801561528e-73
2.7115136423836376e-17,0.0005542981333333334,0.2,0.0,0.001631299266563597,0.1999999999900582,0.19999999995832582,0.19999999999966747,0.199999999922054,9.957448950040197e-45,2.287873747951185e-35,5.160321144811822e-69,6.323753806526797e-90,1.98836048789244e-11,5.661178505174651e-17,9.712391380828569e-28,7.79460111603328e-11,4.167426206242763e-11,3.3246834800389616e-13,2.5324454445766104e-30,2.5065918278437142e-27,6.750119344099431e-28,4.012157884612335e-46,3.1639236967360985e-41,2.2208148145439797e-55,7.096241082543724e-56,1.9881201572608064e-67,2.8667594138507365e-93,1.758966266697148e-53,4.740873493764773e-76,2.12049807951161e-79,3.6180004843503562e-78,2.3620695047314004e-81,3.0384513225142936e-110,4.536786025096292e-107,1.4329212887162482e-108,2.1033097021536906e-87,6.48892576388173e-73
3.3893920709371925e-17,0.0005542981333333334,0.2,0.0,0.001631299231604513,0.19999999998757276,0.19999999994790726,0.19999999999958434,0.1999999999025675,1.2446811499013885e-44,2.8598422094160053e-35,2.488347766205273e-68,4.615804181724533e-89,2.4854505726592303e-11,7.076473025538934e-17,1.4838460311274745e-27,9.743249799323148e-11,5.2092827265846784e-11,4.155852263639593e-13,4.751212256866662e-30,4.700217603973942e-27,1.266283285520482e-27,6.1975919166853425e-46,8.527793267888079e-41,8.136067577223743e-55,2.600036020003695e-55,9.587967981193064e-67,1.9502114716558887e-92,6.444810588152622e-53,2.28608766691412e-75,1.547611216873564e-78,1.864314722759579e-77,1.724104549701767e-80,1.6375310361919711e-109,2.4450376606246146e-106,1.9761759019978187e-107,1.330072264876569e-86,3.1290087130442454e-72
4.745148928044303e-17,0.0005542981333333334,0.2,0.0,0.0016312991616863678,0.19999999998260184,0.19999999992707015,0.1999999999994181,0.19999999986359457,1.7425539308864863e-44,4.0037791966161253e-35,1.2689350259156192e-66,5.930632841132908e-87,3.4796306778976855e-11,9.907061883170804e-17,2.8534361844002496e-27,1.3640545063344483e-10,7.292995692196286e-11,5.818187139785184e-13,1.300018178156794e-29,1.2841648133432581e-26,3.464186924694105e-27,1.2543376982189492e-45,5.0195285360915544e-40,1.256332242082979e-53,4.0182676530181996e-54,4.8939231407257974e-65,7.785119728544095e-90,9.960291200504536e-52,1.1657984171183586e-73,1.988000504977922e-76,1.7036433343701196e-75,2.2152533785686397e-78,2.171589195361299e-109,3.242452857896738e-106,2.3433697916090757e-104,2.8154077220941943e-84,1.59563089989475e-70
