Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112)
7.605174921679222e-19,0.0005542981333333334,0.2,0.0,0.0016312994024779072,0.19999999999972118,0.19999999999883117,0.19999999999999069,0.19999999999781382,2.7928363997352327e-46,6.416962000616714e-37,1.907772123830547e-81,1.357756820821697e-105,5.576896391788968e-13,1.5878310885064544e-18,9.57705991406666e-31,2.1862087478515885e-12,1.1688676881440992e-12,9.324996462073013e-15,8.708933452462183e-35,8.672818535427187e-32,2.3492057423394644e-32,3.9007714538270266e-49,1.8402117273368097e-48,2.870126073590759e-65,1.008160001749794e-65,8.086528153964249e-80,8.527201773882398e-134,2.270726005346907e-63,1.752700357167893e-88,4.650139439386206e-95
1.521035629035057e-18,0.0005542981333333334,0.2,0.0,0.0016312993985558113,0.19999999999944235,0.1999999999976623,0.19999999999998136,0.1999999999956276,5.585675166958495e-46,1.2833929440813943e-36,9.748747073474961e-79,7.72590281763535e-102,1.1153797475409458e-12,3.1756635128546846e-18,3.830831144131133e-30,4.3724192320152485e-12,2.3377363629743227e-12,1.8649999332057368e-14,6.96715361790034e-34,6.925792242183693e-31,1.8679300040914312e-31,1.5602788971555966e-48,5.877795087995495e-47,3.666607724143192e-63,1.1851270642564098e-63,3.800059551166043e-77,9.702765152913721e-130,2.9011217812425484e-61,8.956327694656534e-86,2.6056623184612466e-91
3.0420719027693266e-18,0.0005542981333333334,0.2,0.0,0.00163129939071162,0.19999999999888465,0.19999999999532456,0.1999999999999627,0.19999999999125517,1.1171352701334298e-45,2.5667864320790004e-36,4.9847274542669954e-76,1.58066002848771e-98,2.2307599535352e-12,6.351328331009275e-18,1.532336739113322e-29,8.7448398494576e-12,4.675473700106369e-12,3.7300000581046976e-14,5.5737255953007406e-33,5.534394202029041e-30,1.4897544768220757e-30,6.241100866952284e-48,1.878734122061282e-45,4.687027373002256e-61,1.4987359916321743e-61,1.9220872268361673e-74,3.9708429358786044e-126,3.7091508206080527e-59,4.57954776602334e-83,5.314601900648462e-88
6.084144450237866e-18,0.0005542981333333334,0.2,0.0,0.0016312993750232387,0.19999999999776927,0.1999999999906491,0.1999999999999254,0.19999999998251033,2.2342707771034762e-45,5.133573408006369e-36,2.5486878041172346e-73,3.232762060840589e-95,4.461520322604331e-12,1.2702657845147521e-17,6.129378285449541e-29,1.7489679680802642e-11,9.350948324256865e-12,7.45999851151183e-14,4.458981490604355e-32,4.4230142935434423e-29,1.1899426733011991e-29,2.4971584623872202e-47,6.005813093820017e-44,5.991183211883141e-59,1.9137855788169617e-59,9.817381109096267e-72,1.624231873338845e-122,4.7428626640401594e-57,2.3415200078871626e-80,1.085242867614427e-84
9.126216997706405e-18,0.0005542981333333334,0.2,0.0,0.001631299359334859,0.19999999999665388,0.19999999998597365,0.1999999999998881,0.1999999999737655,3.351406284541977e-45,7.700360384104623e-36,2.2179391520150336e-72,2.0637513176230825e-94,6.69228064875408e-12,1.905398723711024e-17,1.3024980812106732e-28,2.623451810860825e-11,1.4026422898293769e-11,1.1189995168529016e-13,1.3237602082090556e-31,1.3124929213761718e-28,3.531045893302641e-29,5.309046330043719e-47,2.8724017027031533e-43,4.026844133221486e-58,1.2863293440021352e-58,8.543439925352785e-71,1.199057224242548e-121,3.1881334604836814e-56,2.0376560544772467e-79,6.929850154160597e-84
1.2168289545174944e-17,0.0005542981333333334,0.2,0.0,0.001631299343646481,0.1999999999955385,0.1999999999812982,0.1999999999998508,0.19999999996502066,4.4685417934057495e-45,1.026714736093056e-35,1.3247028686639612e-71,2.397798298806095e-93,8.923040931984443e-12,2.540531650689284e-17,2.2219171002460843e-28,3.497935513287463e-11,1.8701897422217083e-11,1.4919990029157107e-13,2.884403898703115e-31,2.858812252717161e-28,7.692018557573654e-29,9.064560389169532e-47,9.503880267867536e-43,1.8522239995908293e-57,5.916854574189646e-58,5.1028054832005784e-70,1.32433345989357e-120,1.466545011146349e-55,1.2170257339381345e-78,8.046875948399984e-83
1.8252434640112022e-17,0.0005542981333333334,0.2,0.0,0.0016312993122697282,0.19999999999330773,0.19999999997194726,0.1999999999997762,0.19999999994753098,6.702812823476647e-45,1.5400721320966673e-35,3.120412830506265e-70,2.1362489883724023e-91,1.3384561397715981e-11,3.810797475969076e-17,4.600230075638748e-28,5.246902588738748e-11,2.8052846352450202e-11,2.2379975534400716e-13,8.37253484014161e-31,8.29366467978418e-28,2.2321535461770293e-28,1.8831334285131394e-46,5.54197187049592e-42,2.255062476391052e-56,7.203966587091545e-57,1.2020221296309728e-68,1.2309471426756214e-118,1.7856456091397334e-54,2.866774194588465e-77,7.164665885240195e-81
2.43365797350491e-17,0.0005542981333333334,0.2,0.0,0.001631299280892981,0.19999999999107695,0.19999999996259632,0.19999999999970158,0.1999999999300413,8.937083890717813e-45,2.053429529764507e-35,1.9510313378334477e-69,1.9259960237703264e-90,1.7846081705617582e-11,5.081063256314313e-17,7.823842288002546e-28,6.995869148058786e-11,3.740379509839783e-11,2.9839954433687996e-13,1.830978940978664e-30,1.8128808692285385e-27,4.880702674393459e-28,3.2191117815048923e-46,1.843283098545466e-41,1.0423588183303798e-55,3.3302870805594614e-56,7.515962954048523e-68,1.2157331232082394e-117,8.254850866945499e-54,1.7924447620930896e-76,6.458743835419476e-80
3.650486992492326e-17,0.0005542981333333334,0.2,0.0,0.001631299218139505,0.19999999998661544,0.19999999994389445,0.19999999999955237,0.199999999895062,1.3405626795031118e-44,3.080144347156303e-35,1.7423899652714404e-67,4.9892966207637076e-88,2.6769121803162265e-11,7.621594669436302e-17,1.7046844922250774e-27,1.0493800571905169e-10,5.610569198516407e-11,4.475989054064614e-13,6.09070312613105e-30,6.022168789072373e-27,1.6231836718043878e-27,7.218126912461669e-46,1.5100325167715804e-40,2.5266768675521088e-54,8.079237897202313e-55,6.718231206399438e-66,6.699277625619141e-115,2.0026395418572036e-52,1.6007683057038233e-74,1.6726409436423156e-77
4.8673160114797413e-17,0.0005542981333333334,0.2,0.0,0.001631299155386053,0.19999999998215393,0.19999999992519257,0.19999999999940316,0.19999999986008268,1.787417238518703e-44,4.1068592266071513e-35,1.4164632493197472e-66,5.2463542214668175e-87,3.5692161217536884e-11,1.0162125888013685e-16,2.992899925935263e-27,1.399172976167042e-10,7.480758807424768e-11,5.967979805368703e-13,1.4169356923058105e-29,1.3993507390224368e-26,3.775666625393857e-27,1.3260174322143437e-45,5.824525559130678e-40,1.4787174955987324e-53,4.730060949652675e-54,5.4630594990490615e-65,7.92022802787041e-114,1.1724650782506967e-51,1.3013347574637735e-73,1.758743787235264e-76
