Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123),C2H4O2(73),SX(104)
7.735181016201863e-19,0.0033257888,0.2,0.0,0.0097877964340301,0.19999999999968934,0.19999999999869772,0.19999999999998963,0.1999999999975642,5.59697010834782e-41,1.6471390137909356e-33,4.095152346088806e-82,1.84969868967032e-105,6.213616913449217e-13,9.467607947653681e-18,6.324690347088021e-29,2.4358105847326404e-12,1.302326317819311e-12,1.0389641976628835e-14,4.756545605588689e-34,4.8030718990726067e-32,3.0348341824051125e-32,1.115584239166229e-45,2.296686261328063e-48,1.4017218250444888e-65,1.435411711748491e-63,1.824221473860667e-78,2.3571764265018787e-105,5.353258835361016e-64,4.426192355933575e-88,5.530470126247757e-96,2.134897657684911e-87,2.2929304783225912e-97,6.697905103897666e-120,5.638979689244015e-118,4.580816985096368e-132,3.6432007686189984e-103,9.12243944804499e-86
1.547036858960348e-18,0.0033257888,0.2,0.0,0.009787796429660198,0.19999999999937867,0.1999999999973954,0.19999999999997922,0.1999999999951284,1.1193944961240436e-40,3.2942794238368214e-33,2.074457629697759e-79,1.0426424684423851e-101,1.2427239086840597e-12,1.8935223909832192e-17,2.5298781088010774e-28,4.871622976543257e-12,2.6046537319002392e-12,2.0779291547535542e-14,3.80524023048268e-33,3.80418556162209e-31,2.390774145012311e-31,4.4622202766210483e-45,7.2737902180474675e-47,1.7751940050709916e-63,2.378478042803162e-62,1.2089470813007614e-76,2.388514216908602e-102,6.781153844559757e-62,2.2421574228399917e-85,2.999736892707139e-92,5.408251726045899e-85,1.2922822890818856e-93,6.697902733687136e-120,5.638977693848223e-118,3.1264878365386794e-126,7.387297558473592e-100,4.621108167061089e-83
3.0940743736406713e-18,0.0033257888,0.2,0.0,0.009787796420920397,0.1999999999987573,0.19999999999479076,0.19999999999995843,0.19999999999025678,2.2387894666816956e-40,6.588560243798769e-33,1.0555709647692686e-76,2.1228468561693664e-98,2.4854483411391463e-12,3.7870455800370575e-17,1.0119518544214943e-27,9.743246986806329e-12,5.209308536857035e-12,4.1558587049933466e-14,3.0441936619711395e-32,3.0265921355789706e-30,1.897748898060657e-30,1.7847931905660462e-44,2.3144425248312578e-45,2.2582529116774547e-61,4.878670856197411e-61,9.912740376175105e-75,2.4325680087305127e-99,8.630441465456689e-60,1.140903976363733e-82,6.060034125979977e-89,1.3770071305117842e-82,2.6311198628622417e-90,6.695373036450515e-120,5.636847936939648e-118,1.0124082734707547e-121,1.5048763707709979e-96,2.3514069181609036e-80
6.188149403001318e-18,0.0033257888,0.2,0.0,0.009787796403440798,0.19999999999751458,0.19999999998958148,0.19999999999991683,0.19999999998051352,4.4775794077135325e-40,1.317712188320349e-32,5.3789635636634464e-74,4.327035900427062e-95,4.970897197156562e-12,7.574091944616853e-17,4.047810374749882e-27,1.9486491913900802e-11,1.0418618053950385e-11,8.311716349707244e-14,2.4353554873114465e-31,2.4122601722733107e-29,1.5121979551177538e-29,7.138413912994157e-44,7.378194155426145e-44,2.8768986988752057e-59,2.1519454303456256e-59,1.7464857781609323e-72,2.4866889902725326e-96,1.1004999729518647e-57,5.8137972596768056e-80,1.230342113140653e-85,3.519121909847362e-80,5.36305763320679e-87,3.6475072228922076e-120,3.070843779067539e-118,3.28923311392722e-117,3.072671908964128e-93,1.1982181831642938e-77
9.282224432361964e-18,0.0033257888,0.2,0.0,0.009787796385961202,0.19999999999627185,0.1999999999843722,0.19999999999987522,0.1999999999707703,6.716369348661953e-40,1.9765683522089325e-32,4.6784653296269104e-73,2.761664938691829e-94,7.456346044281217e-12,1.1361138295668214e-16,8.601601513440049e-27,2.922973374756458e-11,1.56279274782235e-11,1.246757253865596e-13,7.229962036104737e-31,7.151380370272809e-29,4.4842187702251967e-29,1.5168022137687707e-43,3.5263840094132034e-43,1.9323456104094658e-58,1.2761880463324215e-58,1.3772777712223423e-71,2.4091094870268314e-95,7.393798756460299e-57,5.0566698501415805e-79,7.857660719383937e-85,2.7091903055262474e-79,3.423092855557121e-86,5.087310707797325e-111,4.283017049470221e-109,1.7070594921212104e-116,3.2817785021097894e-92,1.0421735865431805e-76
1.237629946172261e-17,0.0033257888,0.2,0.0,0.00978779636848161,0.19999999999502913,0.19999999997916293,0.19999999999983362,0.19999999996102708,8.955159289527089e-40,2.6354245160456944e-32,2.7929384279603007e-72,3.207004922331319e-93,9.941794882513112e-12,1.5148184633190566e-16,1.4673327455606523e-26,3.897297248779866e-11,2.083723680967638e-11,1.6623427271840003e-13,1.5753707184588815e-30,1.5566655080319483e-28,9.76468817550669e-29,2.5873141774468696e-43,1.1661055071778204e-42,8.883025771251298e-58,5.4433972962281965e-58,7.665810045414187e-71,1.5559946842361576e-94,3.3995766044780177e-56,3.018717470442069e-78,9.111417556632427e-84,1.3562607627869764e-78,3.9748806321645666e-85,2.662594391995364e-110,2.241643538578976e-108,5.285365527302328e-115,2.4269650580906683e-91,6.221534379562437e-76
1.8564449520443903e-17,0.0033257888,0.2,0.0,0.00978779633352243,0.19999999999254367,0.19999999996874437,0.19999999999975043,0.1999999999415406,1.3432739171063058e-39,3.953136843598148e-32,6.572214621959647e-71,2.853828056969599e-91,1.4912692538106124e-11,2.272227727648133e-16,3.0379288344404527e-26,5.84594427081797e-11,3.125585525473874e-11,2.49351333216191e-13,4.57281528958216e-30,4.512091585348865e-28,2.832491468997938e-28,5.356130246208571e-43,6.793240192706495e-42,1.0802745977463695e-56,6.135238435100596e-57,1.643606750729248e-69,4.021368560519787e-93,4.13515204081344e-55,7.103505938793525e-77,8.095370285130671e-82,1.812144698387365e-77,3.536961172435564e-83,1.9022609757014262e-109,1.6015173162677738e-107,3.1314213201638427e-112,9.953408336899485e-90,1.4640209685459696e-74
2.4752599579165195e-17,0.0033257888,0.2,0.0,0.00978779629856326,0.1999999999900582,0.19999999995832582,0.19999999999966725,0.19999999992205414,1.7910319052296664e-39,5.270849170961687e-32,4.107274545736391e-70,2.5717054640462395e-90,1.9883590160997246e-11,3.029636987001552e-16,5.1667259383509354e-26,7.794590155292456e-11,4.167447335846802e-11,3.3246834018036497e-13,1.0000231313289391e-29,9.856268352644089e-28,6.191967808343374e-28,9.108475138706527e-43,2.2583342696601968e-41,4.99025739765152e-56,2.7888103410229825e-56,1.0067336203898181e-68,2.679832608943372e-92,1.910858896834417e-54,4.439301712540966e-76,7.2929510103693e-81,9.536870477818067e-77,3.1872935146973764e-82,1.3232679474821574e-108,1.114061928936374e-106,5.1847159462308415e-111,8.184953871728748e-89,9.149310525499429e-74
3.094074963788649e-17,0.0033257888,0.2,0.0,0.009787796263604105,0.19999999998757276,0.19999999994790726,0.19999999999958407,0.19999999990256767,2.2387898933212538e-39,6.588561498125154e-32,1.9795580223360004e-69,1.8760664538035576e-89,2.4854487748850627e-11,3.7870462410235234e-16,7.893597065063253e-26,9.743234820949431e-11,5.209309109648331e-11,4.155852897871261e-13,1.876179479605019e-29,1.8471248443818935e-27,1.161392566062258e-27,1.3914357070265186e-42,6.084149178220754e-41,1.8272354289653264e-55,1.012152813028156e-55,4.79486731998173e-68,1.4401120955880705e-91,6.99876871893477e-54,2.1395824308445927e-75,5.3186857551267116e-80,3.8496350505089475e-76,2.325127399820948e-81,5.797303173974949e-108,4.880761125497857e-106,7.143507119557263e-110,5.173810845582518e-88,4.409628750546889e-73
4.331704975532907e-17,0.0033257888,0.2,0.0,0.009787796193685834,0.19999999998260187,0.19999999992707018,0.19999999999941767,0.19999999986359485,3.13430586941893e-39,9.22398615186982e-32,1.0059797318600348e-67,2.401916416737167e-87,3.479628281724317e-11,5.301864732735682e-16,1.5179138850676093e-25,1.3640520419256255e-10,7.293032545240002e-11,5.818190133257801e-13,5.133568694546624e-29,5.039252202695748e-27,3.176519438228262e-27,2.6751837585164456e-42,3.575449815547682e-40,2.812873077097071e-54,1.544326308756522e-54,2.3963384534209675e-66,1.3788426319130667e-89,1.0796216205854461e-52,1.0872988212724522e-73,6.80582301385105e-78,1.0319032551683513e-74,2.976910979372056e-79,7.666328631494946e-108,6.454297393683241e-106,8.422634939155988e-107,1.0909452121583395e-85,2.2408628386785466e-71
5.569334987277166e-17,0.0033257888,0.2,0.0,0.009787796123767616,0.199999999977631,0.1999999999062331,0.19999999999925128,0.19999999982462205,4.0298218454280233e-39,1.1859410804894203e-31,7.166013195097471e-67,2.2294333269114106e-86,4.473807774332864e-11,6.81668320278832e-16,2.489379833694517e-25,1.7537801067309059e-10,9.376755832295867e-11,7.480525039060915e-13,1.0822186942731076e-28,1.0596059704773746e-26,6.694837493644453e-27,4.3866867317196414e-42,1.2034586730798228e-39,1.4284875084155081e-53,7.837353404029165e-54,1.705437842531144e-65,1.1619143349670376e-88,5.4886848143876154e-52,7.745275784943556e-73,6.3164143762705356e-77,6.490955328758427e-74,2.7631379896361173e-78,2.1839719680601825e-105,1.8386903637367638e-103,9.86339231856021e-106,1.0199772971462322e-84,1.5962490929729577e-70
8.044595010765683e-17,0.0033257888,0.2,0.0,0.00978779598393133,0.1999999999676892,0.19999999986455894,0.19999999999891852,0.19999999974667657,5.82085379767062e-39,1.713026010951681e-31,3.156200458177403e-65,2.4005849153747544e-84,6.462166716863759e-11,9.84632007790558e-16,5.160951854390687e-25,2.5332347514771795e-10,1.3544201960862914e-10,1.0805187862915693e-12,3.301102418331794e-28,3.213001951820688e-26,2.041336548608828e-26,9.094034792373254e-42,8.184234184028163e-39,2.365681456156332e-52,1.3013748583591662e-52,7.529197106572424e-64,1.0251576832703895e-86,9.126787774266912e-51,3.4113151222495368e-71,6.798532808494069e-75,2.062894171553523e-72,2.975288888282757e-76,2.401737549044808e-103,2.022027641830115e-101,5.583530811246637e-103,1.2898910157531248e-82,7.030288627499629e-69
