Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99)
9.357560072392396e-17,0.0004434385066666667,0.2,0.0,0.001305039093485981,0.1999999999693126,0.19999999987136385,0.19999999999897378,0.19999999975940333,1.0349256936394345e-52,6.401040589968357e-41,3.511638405919661e-67,3.482749577549269e-89,6.13749061260824e-11,1.4114856447385048e-17,2.2312782921114227e-29,2.405966903936832e-10,1.2863618396062432e-10,1.0262239314116574e-12,7.223221348617672e-31,2.3666733664149496e-26,2.942010093133911e-27,3.2026953452223985e-48,9.275579707428758e-41,3.3883219142673093e-54,4.862166423352041e-55,3.2103193806765688e-65,1.0462462127023745e-121,8.00211752745569e-52,9.549375460269593e-76
1.2031148684740484e-16,0.0004434385066666667,0.2,0.0,0.0013050389701620728,0.19999999996054474,0.19999999983461067,0.19999999999868057,0.19999999969066148,3.2969311999710994e-52,8.270004051103357e-41,2.5052820659349903e-66,3.2363109954089543e-88,7.891058638330734e-11,1.814767091686681e-17,3.6594918213001055e-29,3.093385238904855e-10,1.653893719383068e-10,1.3194266001914362e-12,1.5227428057076096e-30,4.9849377900824446e-26,6.201711849720388e-27,1.0793124523670102e-47,3.1263992944477224e-40,1.724113645450041e-53,2.4745787372662846e-54,2.290675706027029e-64,1.1066713615345979e-120,4.072650289620955e-51,6.814114187210613e-75
1.7378325909436657e-16,0.0004434385066666667,0.2,0.0,0.0013050387235143883,0.19999999994300907,0.1999999997611043,0.19999999999809415,0.19999999955317793,3.117039317379785e-51,1.229452322171429e-40,1.1119490856977968e-64,3.512541765643681e-86,1.1398193695270657e-10,2.6213297566164152e-17,7.587666861178293e-29,4.468220844376091e-10,2.388957374368581e-10,1.905826286597542e-12,4.644837100526385e-30,1.5174727331606438e-25,1.8914336340074018e-26,7.373909903669362e-47,2.1344500955773564e-39,2.8763565265504932e-52,4.131592308729932e-53,1.0175262751843637e-62,2.1144888942764763e-118,6.7998193280082865e-50,3.029162839074188e-73
2.8072680358829003e-16,0.0004434385066666667,0.2,0.0,0.0013050382302195497,0.19999999990793774,0.19999999961409165,0.19999999999692136,0.19999999927821122,7.107602857294851e-50,2.4699722180570668e-40,1.3548031443635616e-62,1.0950361402589444e-83,1.8412459831160298e-10,4.234454169980888e-17,1.973286726973779e-28,7.217887797498296e-10,3.8590842660707387e-10,3.0786030553678912e-12,2.0154339209072112e-29,6.5549993835334715e-25,8.204452109277305e-26,9.270767719073858e-46,2.6778608735507324e-38,1.106987964508906e-50,1.5930091616880428e-51,1.2420461662387699e-60,1.311776835369583e-115,2.621874585562783e-48,3.710566280325333e-71
4.94613892576137e-16,0.0004434385066666667,0.2,0.0,0.0013050372436319922,0.19999999983779515,0.19999999932006643,0.19999999999457585,0.19999999872827953,2.6369479421997118e-48,1.3925148699660505e-39,3.1223314140469425e-60,7.458697861808722e-81,3.244097619110178e-10,7.460699325621391e-17,6.119382158191591e-28,1.2717204672648347e-09,6.799336376416711e-10,5.424066180682958e-12,1.1394376365464495e-28,3.6714798566539354e-24,4.635340138503346e-25,1.7682437767575012e-44,5.084275272238813e-37,7.275060273596098e-49,1.05079543863556e-49,2.8730377225940698e-58,1.7850751182012127e-112,1.7296615193558707e-46,8.719396160891891e-69
9.22388070551831e-16,0.0004434385066666667,0.2,0.0,0.0013050352704653569,0.19999999969751028,0.19999999873201676,0.19999999998988524,0.199999997628423,1.2544008536418019e-46,2.595563996403812e-38,1.0265506898903966e-57,8.235560686378424e-78,6.04979452636256e-10,1.3913174911579632e-16,2.1291985219201057e-27,2.371577029900128e-09,1.267983390490788e-09,1.011463080822561e-11,7.576447571784816e-28,2.3960784643568644e-23,3.078013007147613e-24,4.277909231026483e-43,1.21884137982257e-35,6.423312904725246e-47,9.344479495814686e-48,9.513589160899706e-56,3.940639256310794e-109,1.5388053926039157e-44,3.0788447987679636e-66
1.777936426503219e-15,0.0004434385066666667,0.2,0.0,0.0013050313241660045,0.1999999994169419,0.19999999755592004,0.19999999998050544,0.19999999542873712,6.718934377358386e-45,6.832343295845474e-37,4.026793604444163e-55,1.6249471619779521e-74,1.1661162881884866e-09,2.6818066854361617e-16,7.92564056145297e-27,4.571262905901306e-09,2.4440802193313724e-09,1.9494313775622743e-11,5.509989738403191e-27,1.6799749482761625e-22,2.2324403275803267e-23,1.1696760948013391e-41,3.2742752306494887e-34,6.539882343042758e-45,9.642219563575146e-46,3.7818982172653493e-53,1.5546646818003781e-105,1.590465631199506e-42,1.5372877729140106e-63
3.489033138405995e-15,0.0004434385066666667,0.2,0.0,0.0013050234317029687,0.19999999885581013,0.19999999520373737,0.19999999996175158,0.19999999102947436,3.7389868988433905e-43,1.9088325125946023e-35,1.6760022920751187e-52,2.6277831296741337e-71,2.288379775659421e-09,5.262761120057044e-16,3.064426717827824e-26,8.970525663199433e-09,4.796263169753187e-09,3.824789619106695e-11,4.1998675432128905e-26,1.1942563675811658e-21,1.6924333163388195e-22,3.3657592906716455e-40,9.118808768719846e-33,6.936592810531718e-43,1.0464384060891214e-43,1.6104372164347244e-50,5.028593924724067e-102,1.7373135587939188e-40,1.1957559754399937e-60
5.200129850308771e-15,0.0004434385066666667,0.2,0.0,0.0013050155394208197,0.19999999829468518,0.19999999285156894,0.1999999999430055,0.19999998663035692,2.4841516120851048e-42,1.0400988892016037e-34,1.856726877369565e-51,3.5895067373008676e-70,3.410629684898645e-09,7.843683273680109e-16,6.829912052519337e-26,1.3369643097315808e-08,7.148431844051978e-09,5.6993769376302335e-11,1.31603148386574e-25,3.573833075040157e-21,5.283778085229592e-22,1.8577958348083083e-39,4.958063189530904e-32,5.6622013777477245e-42,8.593356489113945e-43,1.7921596679978064e-49,7.536804596542114e-101,1.4310782581281258e-39,1.5469946791631013e-59
6.911226562211547e-15,0.0004434385066666667,0.2,0.0,0.00130500764731955,0.19999999773356703,0.19999999049941483,0.19999999992426704,0.19999998223138482,1.0081339846758013e-41,3.6157916045546775e-34,1.288502017705087e-50,4.519712270047232e-69,4.532866015831109e-09,1.0424572667901627e-15,1.2103257073333214e-25,1.7768615212566e-08,9.500586242538768e-09,7.573193630494649e-11,2.9827198084846864e-25,7.759975094310162e-21,1.1933278784519002e-21,6.560165771696895e-39,1.7194265842133783e-31,2.881484333643188e-41,4.3876449922919655e-42,1.2477800515790304e-48,9.633915229399305e-100,7.338009092166527e-39,1.2803269115072618e-58
8.622323274114323e-15,0.0004434385066666667,0.2,0.0,0.001304999755399152,0.19999999717245567,0.19999998814727496,0.19999999990553632,0.19999997783255805,3.119569044694364e-41,9.772156302772535e-34,6.815078704184663e-50,4.123960929284951e-68,5.655088768379182e-09,1.300542880814103e-15,1.889917980254781e-25,2.216744201341013e-08,1.1852726365534948e-08,9.446240005014037e-11,5.667730226375989e-25,1.4142386894827177e-20,2.2595643898090756e-21,1.803437556683272e-38,4.634667157826214e-31,1.109388360826032e-40,1.691880084208234e-41,6.613421743115706e-48,9.14813545898847e-99,2.846391482335992e-38,8.272698305387374e-58
1.2044516697919874e-14,0.0004434385066666667,0.2,0.0,0.001304983972100941,0.19999999605025326,0.19999998344303804,0.199999999868098,0.19999996903534034,1.8414158657339093e-40,4.5120224817271646e-33,1.2302953700131495e-48,1.8160905482935657e-66,7.899493538034446e-09,1.816703949285138e-15,3.711332793286748e-25,3.0964659688415453e-08,1.6556963786246967e-08,1.3190022937918838e-10,1.501173933259067e-24,3.4576458615517586e-20,5.94250862162197e-21,8.644677582136382e-38,2.1268773473777644e-30,9.883472472431245e-40,1.5014007120941577e-40,1.1924998993956136e-46,4.76588389703181e-97,2.5825108183266578e-37,2.558742891939648e-56
