Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),SX(62)
5.738738778503997e-18,0.0033257888,0.2,0.0,0.009787796413624766,0.19999999999668666,0.2,0.19999999999992288,0.19999999998192872,4.15239789932153e-40,1.2219482783423107e-32,8.79964327525768e-87,1.1603787899315558e-106,6.6267151321493554e-12,7.024028087258936e-17,8.118063326640926e-25,1.8071297736495953e-11,7.024028120018804e-17,7.708086536131233e-14,6.970277799843194e-39,3.035236412212438e-28,3.035233423064926e-28,6.143538667587359e-44,2.5833314445136363e-51,1.26198226686532e-66,7.77164124743544e-60,1.6828854216255106e-81,1.2082369167660991e-107
8.608108471805348e-18,0.0033257888,0.2,0.0,0.00978779640123715,0.19999999999503,0.2,0.1999999999998843,0.19999999997289306,6.228597068939466e-40,1.832922482204779e-32,4.8083310217121266e-86,6.264227648506124e-106,9.940073035296143e-12,1.0536042488217481e-16,1.2198852989514365e-24,2.7106943134027716e-11,1.0536042537357283e-16,1.1562130201155415e-13,2.0693014342848427e-38,6.4498802723015e-28,6.4498713983942685e-28,1.3060657317841901e-43,5.489603477944241e-51,4.5344082287177183e-66,2.3072071687041934e-59,8.05123842044002e-81,6.580333937554407e-107
1.1477478165106699e-17,0.0033257888,0.2,0.0,0.00978779638884954,0.1999999999933733,0.2,0.19999999999984572,0.19999999996385745,8.304796238530518e-40,2.4438966860373414e-32,1.8143318090591453e-85,4.31504916026917e-105,1.3253430930028565e-11,1.404805688028561e-16,1.6292697189298195e-24,3.6142585874659575e-11,1.404805694580535e-16,1.5416173859321237e-13,4.508899245589501e-38,1.1002741524338047e-27,1.1002722188788256e-27,2.229248595944123e-43,9.364686849445601e-51,1.1701346115730431e-65,5.027289422494066e-59,2.664687495072306e-80,3.3040141791949744e-106
1.7216217551709403e-17,0.0033257888,0.2,0.0,0.009787796364074324,0.19999999999005996,0.2,0.19999999999976856,0.19999999994578616,1.2457194577649522e-39,3.6658450936322784e-32,1.4260113731280999e-84,1.0307274092279083e-103,1.9880146699745378e-11,2.107208564355662e-16,2.4511023775700492e-24,5.421386512034429e-11,2.1072085741836233e-16,2.3124261159556744e-13,1.3087945040992247e-37,2.2779795836556613e-27,2.277973971260014e-27,4.622141279019919e-43,1.9388930104101782e-50,4.489983358100892e-65,1.4592737797233846e-58,1.55477208950011e-79,4.546066683458301e-105
2.2954956938312106e-17,0.0033257888,0.2,0.0,0.009787796339299116,0.1999999999867466,0.2,0.1999999999996914,0.19999999992771492,1.6609592916669655e-39,4.8877935011172406e-32,5.474886126530844e-84,5.753787084801287e-103,2.6506862438519477e-11,2.809611437413442e-16,3.2777356518098345e-24,7.228513459566692e-11,2.80961145051739e-16,3.0832348434571616e-13,2.8621862057766804e-37,3.87424948293771e-27,3.874237209439286e-27,7.875021928520149e-43,3.297684060679118e-50,1.1838505738847565e-64,3.191278680886543e-58,5.1729394311358794e-79,2.1194384229348634e-104
2.869369632491481e-17,0.0033257888,0.2,0.0,0.00978779631452392,0.19999999998343326,0.2,0.19999999999961424,0.19999999990964365,2.076199125558386e-39,6.109741908484373e-32,1.6873191213941892e-83,2.6122338646350297e-102,3.313357814414063e-11,3.512014306968379e-16,4.1095124401750374e-24,9.035639360274966e-11,3.512014323348314e-16,3.8540435682564414e-13,5.3698512609241375e-37,5.9189822352413055e-27,5.9189592087070775e-27,1.2058235011039749e-42,5.038438414567115e-50,2.6089976397764163e-64,5.9872942181424645e-58,1.3948201916623992e-78,7.908020437940647e-104
4.0171175098120213e-17,0.0033257888,0.2,0.0,0.00978779626497356,0.19999999997680654,0.2,0.19999999999945994,0.19999999987350117,2.9066787933087823e-39,8.553638722857751e-32,1.4730044350160696e-82,5.3954408623382875e-101,4.6387009453841296e-11,4.916820035349707e-16,5.788819627408868e-24,1.2649887955467688e-10,4.916820058281616e-16,5.395661009578643e-13,1.4692893956353351e-36,1.1382012241617329e-26,1.1381949237511971e-26,2.3352426785457835e-42,9.691691243040416e-50,9.820010401327278e-64,1.6382443570684323e-57,8.223112200096337e-78,1.034934970246449e-102
5.164865387132562e-17,0.0033257888,0.2,0.0,0.009787796215423243,0.1999999999701798,0.2,0.19999999999930565,0.19999999983735875,3.737158461016155e-39,1.0997535536752564e-31,6.023214628966909e-82,3.2563492788808686e-100,5.964044062888953e-11,6.321625749504151e-16,7.48901731265097e-24,1.6264132298961218e-10,6.321625778988034e-16,6.937278439925753e-13,3.0974412624583415e-36,1.8666501197933055e-26,1.8666368378274517e-26,3.8631800799375387e-42,1.5901941455375262e-49,2.573089424310645e-63,3.453640608133123e-57,2.773584365061292e-77,5.17992340671661e-102
7.460361141773643e-17,0.0033257888,0.2,0.0,0.009787796116322738,0.19999999995692638,0.2,0.19999999999899704,0.19999999976507396,5.398117796301846e-39,1.5885329163106718e-31,6.159007944678882e-81,7.7089863267717e-99,8.614730257508309e-11,9.13123713513846e-16,1.0952075242552162e-23,2.3492608232668866e-10,9.131237177726294e-16,1.0020513267699362e-12,9.448159816611838e-36,3.8699132542522644e-26,3.8698727403157163e-26,8.218707438457264e-42,3.303801926977052e-49,1.1313754018731435e-62,1.0534835578585754e-56,1.8974608884493918e-76,7.982805103162048e-101
1.2051352651055806e-16,0.0033257888,0.2,0.0,0.009787795918122235,0.19999999993041953,0.2,0.19999999999837983,0.19999999962050494,8.720036466357019e-39,2.5660916410073426e-31,1.320252561648954e-79,4.4802267781178017e-97,1.3916102485185576e-10,1.475045973571049e-15,1.8128838561653078e-23,3.794950908753035e-10,1.475045980450622e-15,1.6186982791565391e-12,4.0996400705265725e-35,1.0061912384217764e-25,1.0061736591260467e-25,2.3185761957761327e-41,8.691023796314786e-49,8.112868878920418e-62,4.571357117270992e-56,2.391330478037438e-75,2.8206302275682712e-99
