Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107)
7.032931325158337e-18,0.0004434385066666667,0.2,0.0,0.0013050394926793411,0.19999999999769363,0.19999999999033202,0.1999999999999229,0.1999999999819173,2.6626371474854245e-54,4.796426625827723e-42,5.752402958456981e-76,5.319824692176731e-100,4.612801071358974e-12,1.060841132872381e-18,1.646634104523142e-31,1.8082720217050064e-11,9.668007246420523e-12,7.712947655270711e-14,4.989873014751161e-34,1.6396223401077228e-29,2.0331357528956282e-30,5.05378612893282e-53,7.671198525671925e-46,3.8352466551451446e-61,5.499015314344601e-62,5.2546071861768956e-74,6.439049770373859e-103,9.050197729256584e-59,1.5632761505875239e-84,1.4598711703349463e-87,6.157182976033795e-87,1.165716392666302e-90
1.4065863395552974e-17,0.0004434385066666667,0.2,0.0,0.0013050394602386825,0.19999999999538723,0.199999999980664,0.19999999999984577,0.19999999996383458,5.33125191969322e-54,9.592901440285327e-42,2.9432913551318483e-73,1.088782564036601e-96,9.225602325663758e-12,2.121682307827993e-18,6.586655546178162e-31,3.6165439076612577e-11,1.9336015195716663e-11,1.542587874806962e-13,3.991898723440573e-33,1.3110702927170013e-28,1.62629822934517e-29,9.417891717884862e-52,2.453626302678162e-44,4.905880688100049e-59,7.035431371300372e-60,2.689094030609515e-71,5.269819966431515e-99,1.1578812041262844e-56,7.998934946504938e-82,2.98746029725762e-84,1.2597844720354937e-83,2.3858148643906016e-87
2.109879546594761e-17,0.0004434385066666667,0.2,0.0,0.001305039427798027,0.19999999999308082,0.199999999970996,0.19999999999976864,0.19999999994575185,8.022838703051134e-54,1.4389519412048925e-41,2.561626272268459e-72,6.950998552281027e-96,1.383840335058535e-11,3.182523430033699e-18,1.3996843619881424e-30,5.4248155480974075e-11,2.9004022903825264e-11,2.31387968060719e-13,1.1850949448307815e-32,3.8912303269258125e-28,4.8278534304652866e-29,4.248810358009618e-51,1.1736546462767102e-43,3.297862830157124e-58,4.7296622624248e-59,2.340490938898338e-70,6.69058574397012e-98,7.78401091521069e-56,6.961751179558062e-81,1.9072954860570193e-83,1.3476815807741482e-82,1.5231503713384136e-86
2.8131727536342246e-17,0.0004434385066666667,0.2,0.0,0.0013050393953573747,0.19999999999077442,0.19999999996132797,0.1999999999996915,0.19999999992766912,1.0781480894848765e-53,1.9186506736865768e-41,1.5301355625540691e-71,8.077026701267223e-95,1.8451204146123745e-11,4.243364499486008e-18,2.3877302216429058e-30,7.233086943013485e-11,3.867203037074634e-11,3.0851701829299203e-13,2.5822594916535514e-32,8.476807601730715e-28,1.0519308516375302e-28,1.373231883925579e-50,3.883698919788393e-43,1.5171037007267072e-57,2.1758513223511745e-58,1.398092089782771e-69,5.909548961171977e-97,3.580985659345201e-55,4.1585076404122505e-80,2.2161427815029168e-82,9.959876612895048e-82,1.7698933652675493e-85
4.2197591677131513e-17,0.0004434385066666667,0.2,0.0,0.0013050393304760773,0.1999999999861616,0.19999999994199197,0.19999999999953724,0.19999999989150372,1.6873966196287095e-53,2.8783248383242715e-41,3.6050898872847584e-70,7.197768088356978e-93,2.7676805198852176e-11,6.3650465145679545e-18,4.943620044151018e-30,1.0849629156625167e-10,5.800804473853626e-11,4.627748128400224e-13,7.495502448281649e-32,2.459626483350585e-27,3.053301496674634e-28,7.879721120901957e-50,2.26513446362008e-42,1.8474933530589412e-56,2.649815206257658e-57,3.2941267281546817e-68,3.81643489003855e-95,4.3610308908513844e-54,9.798110752429674e-79,1.9747378434862914e-80,4.070848237740693e-80,1.577224200830874e-83
5.626345581792079e-17,0.0004434385066666667,0.2,0.0,0.0013050392655947912,0.1999999999815488,0.19999999992265596,0.19999999999938298,0.19999999985533828,2.47106520545801e-53,3.838702349877612e-41,2.2543085975185776e-69,6.490013747744502e-92,3.6902405408056696e-11,8.486728335622157e-18,8.408019720844161e-30,1.4466170467372247e-10,7.734405821939384e-11,6.170321280536914e-13,1.6391817901361916e-31,5.3771246496167175e-27,6.677009986889753e-28,2.6096232030995946e-49,7.53468730505805e-42,8.540871663343218e-56,1.2250812424739265e-56,2.0599234932650465e-67,3.968812315045688e-94,2.016223200435949e-53,6.1270781025346745e-78,1.7805258077953192e-79,3.343846908020684e-79,1.4221362261861217e-82
7.032931995871006e-17,0.0004434385066666667,0.2,0.0,0.0013050392007135168,0.199999999976936,0.19999999990331996,0.1999999999992287,0.1999999998191729,3.6957656153334044e-53,4.800636127041568e-41,1.0872120108033211e-68,4.7379740346776215e-91,4.612800471348555e-11,1.0608409948765551e-17,1.2845894057870063e-29,1.80827108107646e-10,9.668007074996694e-11,7.712889296973534e-13,3.075328001049288e-31,1.0084655794713716e-26,1.252659557859879e-27,7.0213385925198e-49,2.0311130639857514e-41,3.1294997478481428e-55,4.48912937682646e-56,9.935214048626414e-67,3.2185044291841596e-93,7.388155196172454e-53,2.955099759672051e-77,1.2998199781782612e-78,2.1107357905740992e-78,1.0382172943171714e-81
9.84610482402886e-17,0.0004434385066666667,0.2,0.0,0.0013050390709510053,0.1999999999677104,0.19999999986464795,0.19999999999892018,0.19999999974684213,1.2963233069245764e-52,6.739794173576939e-41,5.550575544004917e-67,6.094716751527964e-89,6.457920055624606e-11,1.4851772538101638e-17,2.4703686563568903e-29,2.5315788534722966e-10,1.353520929005694e-10,1.0798009600250092e-12,8.41465683898206e-31,2.7565677079140467e-26,3.427235460602769e-27,4.129817449589405e-48,1.1961383937822322e-40,4.8373578494922317e-54,6.941862712705918e-55,5.074564614778732e-65,3.488937341728516e-90,1.1424871441767824e-51,1.5095013854544417e-75,1.671867221029465e-76,4.463210215412882e-76,1.3355160422512209e-79
1.2659277652186715e-16,0.0004434385066666667,0.2,0.0,0.0013050389411885428,0.1999999999584848,0.19999999982597594,0.1999999999986117,0.19999999967451138,4.3346109331263165e-52,8.717151806911977e-41,3.959788626620583e-66,5.663330995483142e-88,8.303039272829399e-11,1.9095134282648867e-17,4.051632584505084e-29,3.254886232974425e-10,1.7402411119156517e-10,1.3883109044945718e-12,1.7739118741129324e-30,5.805914276378769e-26,7.224537862242808e-27,1.3918338414929172e-47,4.031525131975563e-40,2.461346243415583e-53,3.5329331575374235e-54,3.62080262500068e-64,4.0508183576349634e-89,5.814488736172141e-51,1.0771209877077672e-74,1.5534977154203997e-75,4.1703625711764055e-75,1.2409878430760905e-78
1.8285623308502424e-16,0.0004434385066666667,0.2,0.0,0.0013050386816637644,0.19999999994003362,0.19999999974863192,0.19999999999799467,0.19999999952985004,4.2088358109176794e-51,1.3041381209604665e-40,1.757244950835524e-64,6.145725751085627e-86,1.1993276606179784e-10,2.7581855236580013e-17,8.400790870773395e-29,4.701499813464229e-10,2.5136813619637143e-10,2.005324536810452e-12,5.410980507893609e-30,1.7672008144237155e-25,2.203364911480198e-26,9.509064010663454e-47,2.7521076548378556e-39,4.10567305833559e-52,5.8979883396448e-53,1.608189159619918e-62,1.5354849361415339e-86,9.706988460804142e-50,4.7883189945338756e-73,1.6855904778100857e-73,5.276274621867939e-73,1.3466934813869982e-76
