Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123),C2H4O2(73),SX(104),SX(148),C2H5X(150),SX(113),SX(114)
8.153596708297899e-19,0.0033257888,0.2,0.0,0.009787796433793723,0.19999999999967255,0.19999999999862725,0.19999999999998908,0.19999999999743245,5.899724512750852e-41,1.7362369688330507e-33,6.572277712353641e-82,3.2982725732065546e-105,6.549727317870354e-13,9.979735035711246e-18,7.027433773306322e-29,2.567569791484617e-12,1.3727724734759315e-12,1.0951644205361338e-14,5.570932557190501e-34,5.61975940691055e-32,3.548868216748824e-32,1.239536247237804e-45,2.985675287356982e-48,2.024655972518741e-65,1.773509147290162e-63,2.5043213128769393e-78,3.9876644812439734e-105,7.73237895895169e-64,7.103564213094393e-88,9.834965569341328e-96,3.250472741464167e-87,4.0886171494245103e-97,1.0749781343384534e-119,9.05009478726132e-118,3.063829175873995e-128,6.496658067046386e-103,1.4640536139312422e-85,1.0505797942676114e-112,1.5869968355861573e-134,5.094586697979346e-112,2.366333550201278e-113
1.6307200328491228e-18,0.0033257888,0.2,0.0,0.009787796429187442,0.19999999999934506,0.19999999999725449,0.1999999999999781,0.19999999999486487,1.1799454026687076e-40,3.472475409445579e-33,3.3308948355410666e-79,1.8601572708724876e-101,1.3099460179784027e-12,1.9959478518830666e-17,2.810975719901501e-28,5.135141473098081e-12,2.7455461020720304e-12,2.190329634662302e-14,4.4567504320343196e-33,4.45313432096302e-31,2.7978766377770324e-31,4.958008168173185e-45,9.460525841082606e-47,2.5653411989521845e-63,2.956572747429219e-62,1.6697264232986826e-76,4.04272835367199e-102,9.799724699932271e-62,3.600165691231047e-85,5.3475030368212674e-92,8.23846605688537e-85,2.3055346086629413e-93,2.835778631787848e-119,9.050091403654991e-118,2.7519388075556255e-123,1.3180125301741894e-99,7.419975130872642e-83,2.369463003210708e-108,7.916222344453204e-131,1.1416012872676218e-107,5.232605133020392e-109
3.2614407568877887e-18,0.0033257888,0.2,0.0,0.009787796419974883,0.1999999999986901,0.19999999999450896,0.19999999999995619,0.19999999998972973,2.359891305432762e-40,6.944952290526386e-33,1.69523913819619e-76,3.7880857866694345e-98,2.6198925878909264e-12,3.991896544749319e-17,1.1243909841219244e-27,1.0270283977038177e-11,5.491093333480828e-12,4.380659658535147e-14,3.5654020744373965e-32,3.543651311563197e-30,2.2217732272952008e-30,1.9830920829844942e-44,3.010910275993554e-45,3.2640648716754954e-61,6.282294176543872e-61,1.4181689210429013e-74,4.118469601281025e-99,1.2475016622267832e-59,1.832283265523015e-82,1.0809382161650152e-88,2.0982136081234498e-82,4.695066779365154e-90,5.521862975513428e-115,9.046462976670402e-118,8.858295643484298e-119,2.685604881122785e-96,3.776340692469403e-80,1.9302557138910633e-104,1.2427545516047024e-126,9.187630736118941e-104,4.102144490427103e-105
6.52288220496512e-18,0.0033257888,0.2,0.0,0.009787796401549767,0.19999999999738013,0.1999999999890179,0.19999999999991233,0.19999999997945944,4.719783110868135e-40,1.3889906052111172e-32,8.638685706563227e-74,7.721417231182011e-95,5.239785717835133e-12,7.983793915450795e-17,4.4975673611730484e-27,2.0540565547772186e-11,1.098218769316482e-11,8.761318088763468e-14,2.8523223099651743e-31,2.8245261610414125e-29,1.7707419222270555e-29,7.931480162500119e-44,9.59904792605271e-44,4.158302833114178e-59,2.9876152783418163e-59,2.693870811113497e-72,4.2115706558284855e-96,1.5908358768531515e-57,9.337033277881165e-80,2.195041610079387e-85,5.3641337659217865e-80,9.570155309029533e-87,1.6747062146188792e-110,4.689252625874977e-118,2.8206454329555845e-114,5.484072684393915e-93,1.9243525516166814e-77,1.5738130424449295e-100,1.8977405974798233e-122,7.315011114196445e-100,3.110368925863567e-101
9.784323653042453e-18,0.0033257888,0.2,0.0,0.009787796383124655,0.19999999999607018,0.19999999998352685,0.19999999999986848,0.19999999996918916,7.079674916210841e-40,2.0834859813119498e-32,7.513599437030593e-73,4.928053403237652e-94,7.859678837898494e-12,1.1975691271120586e-16,9.557335850250137e-27,3.0810843681361166e-11,1.6473281949715222e-11,1.3141974901475006e-13,8.467832360278347e-31,8.3735647359149e-29,5.251188218008016e-29,1.6853100300254701e-43,4.587838340631653e-43,2.7929975433465687e-58,1.7978610612078537e-58,2.1486467368689744e-71,4.080518645047416e-95,1.0688173797578354e-56,8.120993607740354e-79,1.4018250005743134e-84,4.1300014366946755e-79,6.1083385382851695e-86,1.7968420282677366e-109,6.882639553700619e-109,2.911094784705551e-113,5.856898275822218e-92,1.673725801852695e-76,1.319099134338759e-99,1.7580592863851069e-121,6.0968030553351015e-99,2.563415447462754e-100
1.3045765101119784e-17,0.0033257888,0.2,0.0,0.009787796364699546,0.19999999999476023,0.1999999999780358,0.19999999999982462,0.19999999995891887,9.439566721461054e-40,2.7779813573552224e-32,4.4854016622478455e-72,5.7226803319869275e-93,1.0479571948081008e-11,1.5967588611758032e-16,1.6303699010589556e-26,4.1081118377806254e-11,2.1964376103132023e-11,1.7522630096670359e-13,1.845096153294734e-30,1.8226758056931103e-28,1.1435158641960895e-28,2.8747398264706615e-43,1.5170972257142246e-42,1.2839286482099104e-57,7.742434203418622e-58,1.2064192580816777e-70,2.6358032552085883e-94,4.914273341532534e-56,4.847997502799024e-78,1.6255975807662864e-83,2.0678294767707427e-78,7.09290186538899e-85,2.0303065180745987e-108,3.6027658602869535e-108,3.3823247351729416e-112,4.331572526128411e-91,9.99164698533439e-76,1.4833384405632707e-98,1.9447445351587144e-120,6.86243209439497e-98,2.89132821845963e-99
1.9568647997274446e-17,0.0033257888,0.2,0.0,0.009787796327849338,0.19999999999214033,0.1999999999670537,0.19999999999973694,0.19999999993837833,1.4159350331745966e-39,4.1669721093074e-32,1.0554561478991686e-70,5.092319247440168e-91,1.571935814525628e-11,2.3951383257750344e-16,3.3754770252616275e-26,6.162165970393372e-11,3.294656416791741e-11,2.6283936690851477e-13,5.355745026442773e-30,5.282952759113293e-28,3.3171536163884895e-28,5.951114577442045e-43,8.83769508653115e-42,1.5613452027686825e-56,8.817547463879268e-57,2.619075224010278e-69,6.814848641113816e-93,5.977447992648405e-55,1.1407780051320698e-76,1.444387346265487e-81,2.7644715407869137e-77,6.311289638716429e-83,4.210200769118214e-106,2.5762734645977908e-107,7.189330847630482e-110,1.776845513603486e-89,2.351122829740332e-74,2.2812585437161893e-96,2.9855179460162995e-118,1.0557528039464741e-95,4.451169187778391e-97
2.609153089342911e-17,0.0033257888,0.2,0.0,0.009787796290999141,0.19999999998952042,0.1999999999560716,0.19999999999964926,0.1999999999178378,1.887913394169601e-39,5.555962861050061e-32,6.595887862198041e-70,4.588817853970966e-90,2.095914430609612e-11,3.1935177848456805e-16,5.740807798412596e-26,8.216218839046677e-11,4.3928751853443836e-11,3.5045237336853623e-13,1.1712410336359761e-29,1.1539707701555594e-27,7.251580110846845e-28,1.0120244977528868e-42,2.937924859889966e-41,7.212285417224429e-56,4.0173898301617777e-56,1.6087694983100644e-68,4.54277003197345e-92,2.762142898851795e-54,7.129090407518624e-76,1.3012107019554595e-80,1.455461585542771e-76,5.687241243194238e-82,6.113009659799065e-105,1.7928426663426934e-106,1.051170953894568e-108,1.461254590143438e-88,1.4692896253290223e-73,2.518632929639619e-95,3.599174810564405e-117,1.159569002704998e-94,4.8385031591844935e-96
3.261441378958377e-17,0.0033257888,0.2,0.0,0.009787796254148964,0.19999999998690052,0.1999999999450895,0.19999999999956158,0.19999999989729725,2.3598917551295686e-39,6.944953612571281e-32,3.17888358573675e-69,3.347441200040988e-89,2.6198930428005127e-11,3.9918972379923925e-16,8.770665674387231e-26,1.0270270353458487e-10,5.4910939132621377e-11,4.3806531609810853e-13,2.1974075616930147e-29,2.1625149838499588e-27,1.3601513008660711e-27,1.5459911320344788e-42,7.914793830693979e-41,2.640764445628672e-55,1.4599308203501314e-55,7.675393754108004e-68,2.4421547814390013e-91,1.0116514819014201e-53,3.43585900351669e-75,9.489402496187594e-80,5.877901073689595e-76,4.1486948597539606e-81,6.578104438009183e-104,7.858306209842228e-106,1.1428049279261451e-107,9.237557209039493e-88,7.081216689654275e-73,2.2380367446092698e-94,3.312562712708719e-116,1.0281863949105604e-93,4.2732772178692144e-95
4.56601795818931e-17,0.0033257888,0.2,0.0,0.009787796180448644,0.19999999998166074,0.19999999992312528,0.1999999999993862,0.19999999985621628,3.303848476958216e-39,9.722935114975163e-32,1.6149881652934063e-67,4.28443280331004e-87,3.6678502552585126e-11,5.588656126138909e-16,1.6865716094933476e-25,1.4378369234497253e-10,7.687531244640555e-11,6.132910063629984e-13,6.012507204298859e-29,5.8988707414817855e-27,3.720179595802839e-27,2.972327923856343e-42,4.650593198941269e-40,4.0641455188894295e-54,2.230726000869343e-54,3.8457805666596833e-66,2.351237973202015e-89,1.5603175068639343e-52,1.745536343776775e-73,1.2139259312774615e-77,1.583787932897588e-74,5.310082793718591e-79,2.629486113493592e-100,1.0395455275979014e-105,5.0697016733805444e-104,1.9475051743908522e-85,3.5974472714867627e-71,1.6328398946035833e-91,4.9547964585158384e-113,7.037737619370233e-91,2.6154535939685855e-92
