Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144)
9.070317336993455e-19,0.002217192533333333,0.2,0.0,0.006525197621416152,0.19999999999970258,0.19999999999875315,0.19999999999999007,0.1999999999976679,6.867716046724606e-56,1.2371824819527121e-43,9.09208134862105e-87,1.0043228162943367e-113,5.949094189391749e-13,1.3681586788100129e-19,2.7388096895689224e-33,2.3321146804038156e-12,1.2468754649710537e-12,9.947338936900222e-15,2.140809575891731e-37,7.038486349769643e-33,8.73442188890356e-34,8.026315804229636e-56,1.0954705667804653e-51,1.822237062344514e-69,2.6124353294567525e-70,8.304315282084493e-85,8.437058684071465e-118,4.299302318482716e-67,2.4708453218394066e-95,2.7629205266584517e-101,2.4234114764379338e-99,2.2007408861377617e-104,1.9290643508838452e-134,1.982736765723813e-129
1.8140642362996704e-18,0.002217192533333333,0.2,0.0,0.006525197617232302,0.19999999999940513,0.19999999999750628,0.19999999999998014,0.1999999999953358,1.3735438026404013e-55,2.4743660133288982e-43,4.654317013023763e-84,2.0564852895545225e-110,1.1898193411713702e-12,2.736318515084064e-19,1.095525074030485e-32,4.6642312912923365e-12,2.493751985847384e-12,1.9894683449490114e-14,1.7126493523724415e-36,5.629932431731637e-32,6.982282900638005e-33,3.221006105273591e-55,3.504966643166827e-50,2.3320474996527992e-67,3.3432635310806903e-68,4.250977291479554e-82,1.670407464773852e-114,5.502260049510147e-65,1.2648477346138638e-92,5.649964116301694e-98,1.1999241322903778e-96,4.5063113024055003e-101,1.9171929419041005e-131,1.9705349363082287e-126
3.62812924150032e-18,0.002217192533333333,0.2,0.0,0.0065251976088646,0.1999999999988102,0.19999999999501253,0.19999999999996024,0.19999999999067156,2.7470888950234018e-55,4.9487330970988134e-43,2.38250021537903e-81,1.1723787205517254e-106,2.379639182580649e-12,5.472638180613779e-19,4.382105702652524e-32,9.32846437364408e-12,4.9875050243449e-12,3.978936390432698e-14,1.3701201560007084e-35,4.503196567285864e-31,5.583689123749094e-32,1.3221328086824392e-54,1.1214033816560703e-48,2.984380991372829e-65,4.278646709490057e-66,2.176128840777889e-79,8.316776054976943e-111,7.041727364579149e-63,6.474636635744566e-90,3.2178875120571347e-94,1.4940271124865113e-93,2.568996484266931e-97,1.9171194806230646e-131,1.9704589437157793e-126
7.25625925190162e-18,0.002217192533333333,0.2,0.0,0.0065251975921292,0.1999999999976204,0.19999999999002502,0.19999999999992044,0.1999999999813431,5.494223519739339e-55,9.897467939635554e-43,1.2194045557153824e-78,2.4009253162412757e-103,4.7592788531787594e-12,1.0945277483598946e-18,1.7528457704664962e-31,1.8656929980646415e-11,9.97501108831935e-12,7.957869053265842e-14,1.096096390375167e-34,3.601607017460251e-30,4.466039860550444e-31,6.369294711913259e-54,3.5875556409941836e-47,3.818642206719192e-63,5.475241154135143e-64,1.113887708386452e-76,6.262126280384734e-107,9.011069692273706e-61,3.313835357996032e-87,6.588595184678108e-91,2.8125148596441124e-90,5.261071859769812e-94,1.3178075292070475e-131,1.3544716167318692e-126
1.451251927270422e-17,0.002217192533333333,0.2,0.0,0.0065251975586584,0.19999999999524073,0.19999999998005,0.19999999999984086,0.19999999996268616,1.0991331615750878e-54,1.9794959224668305e-42,6.239116244740628e-76,4.913758300709327e-100,9.51855814549319e-12,2.1890555977266465e-18,7.011409325469007e-31,3.7313858963846737e-11,1.9950023164185946e-11,1.5915720666418777e-13,8.768772121236885e-34,2.879865589835752e-29,3.5723768230556755e-30,6.006380857359582e-53,1.1474603966474061e-45,4.884543031828262e-61,7.004916698253263e-62,5.7003441340623945e-74,5.071243279985149e-103,1.1528589768746501e-58,1.6955431572801969e-84,1.348256676002355e-87,5.694184324081776e-87,1.0767363458006348e-90,-4.899401046223981e-128,-5.035712545243267e-123
2.1768779293506818e-17,0.002217192533333333,0.2,0.0,0.0065251975251876025,0.19999999999286108,0.19999999997007498,0.19999999999976129,0.19999999994402923,1.649952346057977e-54,2.9692517456896014e-42,5.430048117580301e-75,3.1370321001672126e-99,1.4277837388925824e-11,3.283583435862349e-18,1.489928861545319e-30,5.597078571624296e-11,2.992503518797023e-11,2.387355856708192e-13,2.6032293006468804e-33,8.547314940276098e-29,1.0605014801582259e-29,2.3273793009265553e-52,5.4886721013759055e-45,3.283500546940832e-60,4.709130197380328e-61,4.961359994383634e-73,6.436147787360195e-102,7.750218045813549e-58,1.4756734405959348e-83,8.607705980227348e-87,6.088876530010879e-86,6.874079417901639e-90,6.359629412370259e-120,6.536567508036258e-115
2.902503931430942e-17,0.002217192533333333,0.2,0.0,0.006525197491716808,0.19999999999048143,0.19999999996009996,0.1999999999996817,0.1999999999253723,2.2040068741560393e-54,3.959024841686129e-42,3.2435151090039575e-74,3.6452000338901646e-98,1.9037116583476663e-11,4.3781112627662355e-18,2.541650622079502e-30,7.462771023783534e-11,3.990004715967222e-11,3.183138275527883e-13,5.6722997103017295e-33,1.8619668290440835e-28,2.3107043381631907e-29,7.002634937208955e-52,1.816226985885348e-44,1.5104885524155949e-59,2.166396752448228e-60,2.963658421198411e-72,5.683033374074555e-101,3.565424585237267e-57,8.814618960614833e-83,1.0001507007964511e-85,4.498315677509699e-85,7.987611770512163e-89,4.9235947315294173e-119,5.0605787138016516e-114
4.3537559355914616e-17,0.002217192533333333,0.2,0.0,0.006525197424775224,0.19999999998572215,0.19999999994014994,0.19999999999952256,0.19999999988805844,3.339868470620524e-54,5.938700431060406e-42,7.641833515962054e-73,3.2483489659120353e-96,2.8555674857855736e-11,6.567166890210617e-18,5.2621926212546e-30,1.1194155404546091e-10,5.985007098084223e-11,4.774699894942702e-13,1.6464936353997305e-32,5.402610322647725e-28,6.706975746500047e-29,3.8052057463121984e-51,1.0592862036148898e-43,1.839414554973442e-58,2.6382723993089305e-59,6.98278683348504e-71,3.668265030202865e-99,4.342031819669325e-56,2.0767736284951277e-81,8.91193563172794e-84,1.8376458127898675e-83,7.118004552019329e-87,1.4836790739954763e-117,1.524957771576893e-112
5.805007939751982e-17,0.002217192533333333,0.2,0.0,0.006525197357833649,0.19999999998096288,0.19999999992019993,0.1999999999993634,0.1999999998507446,4.559884844953319e-54,7.918704935727142e-42,4.778508453534807e-72,2.9289229781137633e-95,3.8074232952478963e-11,8.75622247634398e-18,8.949658582908142e-30,1.4925538964962736e-10,7.980009461048704e-11,6.366256471814194e-13,3.6006958826219485e-32,1.1810819205899906e-27,1.4666918380251342e-28,1.2408484952275758e-50,3.5235588264238006e-43,8.503459400849733e-58,1.2197383631094562e-58,4.3665413536550866e-70,3.814250143908018e-98,2.007428638228612e-55,1.298634344413284e-80,8.035414212973093e-83,1.5093289913522193e-82,6.4180564675865054e-86,1.414427545394525e-116,1.4537794950529115e-111
7.256259943912501e-17,0.002217192533333333,0.2,0.0,0.006525197290892082,0.1999999999762036,0.19999999990024991,0.19999999999920426,0.19999999981343075,5.992690510053732e-54,9.899437209415409e-42,2.3045722912321206e-71,2.1382171205197692e-94,4.7592790854506617e-11,1.0945278018210274e-17,1.3673129993472835e-29,1.8656921646437503e-10,9.975011803492637e-11,7.95780764597644e-13,6.755395484904121e-32,2.215063449138115e-27,2.7516275699276882e-28,3.314797166321659e-50,9.498323480768209e-43,3.115768022474703e-57,4.469526756367436e-58,2.1060161492728442e-69,3.0929247428370454e-97,7.35588700466835e-55,6.263090138592069e-80,5.865969287954504e-82,9.526763846244397e-82,4.685407681134075e-85,9.241743947285329e-116,9.498865203685752e-111
