Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH3OX(49)
1.5716173656915349e-18,0.0005542981333333334,0.2,0.0,0.0016312994002062222,0.19999999999917167,0.2,0.19999999999998075,0.1999999999954822,5.7714256812855665e-46,1.3260719206284151e-36,4.7470768999140984e-89,9.07956339813276e-107,1.6566777528896522e-12,3.2812695743980874e-18,5.670159365495843e-28,4.517823157515376e-12,3.281269575736034e-18,1.9270204386190022e-14,1.93328052932203e-39,2.5523221091144977e-29,3.139415999708292e-31,1.6746278260908353e-48,1.8141492309785272e-51,2.268581705494786e-67,5.939263965527774e-68,5.04610458270376e-85,1.7950123348743826e-65
3.1432353975216262e-18,0.0005542981333333334,0.2,0.0,0.0016312993940124426,0.19999999999834334,0.2,0.1999999999999615,0.19999999999096438,1.1542853808771431e-45,2.6521444032763416e-36,2.4302412628218853e-86,1.8595569789769886e-103,3.31335619118831e-12,6.562540506357145e-18,1.1422117989873294e-27,9.035647737512067e-12,6.562540509033038e-18,3.8540416840737206e-14,1.5466251736355107e-38,2.041767736798741e-28,2.504513462577658e-30,6.9434281225958e-48,5.805014917318926e-50,2.9029719472699104e-65,6.553616522255194e-66,2.5783447119557008e-82,2.2975116861432735e-63
6.2864714611818085e-18,0.0005542981333333334,0.2,0.0,0.0016312993816248844,0.19999999999668666,0.2,0.19999999999992293,0.19999999998192872,2.3085710063593728e-45,5.304289368442383e-36,1.2440810828082885e-83,3.8064460098612953e-100,6.626713017437023e-12,1.3125082270606367e-17,2.3171425808258477e-27,1.8071295420237704e-11,1.3125082275958155e-17,7.708084145156004e-14,1.237300421430543e-37,1.6333532088120246e-27,2.0007934223578244e-29,3.560129273433446e-47,1.857535061276134e-48,3.7139223991092194e-63,8.26528545753574e-64,1.31982226119936e-79,2.9407045946365615e-61
9.429707524841991e-18,0.0005542981333333334,0.2,0.0,0.001631299369237328,0.19999999999503,0.2,0.19999999999988438,0.19999999997289306,3.4628566318266704e-45,7.956434333478635e-36,1.0828734776740962e-82,2.4301415325002327e-99,9.940069793337112e-12,1.9687623935186714e-17,3.5166124152438456e-27,2.7106941625695835e-11,1.9687623943214394e-17,1.156212657641107e-13,3.673235844757503e-37,4.8489397136983605e-27,5.937468275661685e-29,9.94335545504262e-47,8.886683425863509e-48,2.4966917955471185e-62,5.552429874508614e-63,1.1488231562471893e-78,1.9771631017056467e-60
1.2572943588502174e-17,0.0005542981333333334,0.2,0.0,0.001631299356849773,0.1999999999933733,0.2,0.19999999999984583,0.19999999996385745,4.6171422572790635e-45,1.0608579298385153e-35,6.469049501720194e-82,2.823911770211141e-98,1.3253426518888556e-11,2.6250165500098198e-17,4.7406212978577724e-27,3.6142586353886695e-11,2.6250165510801777e-17,1.541616897783884e-13,8.003787793775857e-37,1.0565449672047975e-26,1.2934570450732972e-28,2.382239919912208e-46,2.9411552987592077e-47,1.1486264121540682e-61,2.5535556113445405e-62,6.863151056462519e-78,9.096977475731947e-60
1.885941571582254e-17,0.0005542981333333334,0.2,0.0,0.0016312993320746665,0.19999999999005996,0.2,0.19999999999976872,0.19999999994578616,6.925713508149144e-45,1.5912869227894187e-35,1.5245954012370224e-80,2.5170702431898214e-96,1.9880139851826158e-11,3.937524839600449e-17,7.246230692909498e-27,5.421387234321333e-11,3.9375248412059856e-17,2.312425371069129e-13,2.3232527262784585e-36,3.066765383614381e-26,3.7536412311615064e-28,1.0260149690244038e-45,1.7160352574873673e-46,1.3991578163413383e-60,3.109595020859597e-61,1.6175128943565425e-76,1.1082352297205139e-58
2.5145887843142905e-17,0.0005542981333333334,0.2,0.0,0.0016312993072995657,0.1999999999867466,0.2,0.19999999999969162,0.19999999992771486,9.23428475896539e-45,2.1217159156927538e-35,9.534985303237231e-80,2.269840642292445e-95,2.6506852999613597e-11,5.2500330925392925e-17,9.842078883179954e-27,7.228515290010335e-11,5.2500330946800077e-17,3.0832338333857473e-13,5.0806916906152186e-36,6.706562026884432e-26,8.20772909274735e-28,3.087998491792094e-45,5.709392748531272e-46,6.468638630048418e-60,1.4376472375921813e-60,1.0116284980077062e-75,5.124514605959448e-58
3.1432359970463267e-17,0.0005542981333333334,0.2,0.0,0.001631299282524471,0.19999999998343326,0.2,0.19999999999961451,0.19999999990964362,1.1542856009725607e-44,2.6521449085453217e-35,4.5993192688489463e-79,1.6571698475531274e-94,3.31335659490257e-11,6.562541306208375e-17,1.2534611467534455e-26,9.035642763652711e-11,6.56254130888427e-17,3.8540422839502183e-13,9.532068995251787e-36,1.258221685149841e-25,1.5397495128078414e-27,7.92812575198742e-45,1.5394421628341353e-45,2.3704173422194137e-59,5.268350248556448e-60,4.879901463719382e-75,1.87813033609513e-57
4.4005304225104e-17,0.0005542981333333334,0.2,0.0,0.0016312992329743,0.19999999997680656,0.2,0.19999999999946033,0.1999999998735011,1.6159998511109946e-44,3.713002894097558e-35,2.35145089329385e-77,2.1330023820984764e-92,4.638699124026212e-11,9.187557613270619e-17,1.8215802771628237e-26,1.2649895928237894e-10,9.18755761701687e-17,5.395659149084203e-13,2.608147643678356e-35,3.442567697909e-25,4.21253208287543e-27,4.466724552797458e-44,9.075129207025996e-45,3.665944995817987e-58,8.150996307997329e-59,2.495639017883981e-73,2.9076170293758503e-56
6.915119273438546e-17,0.0005542981333333334,0.2,0.0,0.001631299133874031,0.19999999996355314,0.2,0.19999999999915197,0.1999999998012161,2.539428351419873e-44,5.834718864630222e-35,2.398298767209967e-75,5.534686860225211e-90,7.289383940724233e-11,1.4437589749234247e-16,3.0755444214428553e-26,1.9878395170228975e-10,1.4437589755121213e-16,8.478892736251167e-13,1.035821278485434e-34,1.367070152172476e-24,1.672785684608301e-26,4.834481494438718e-43,9.996951537459614e-44,1.2043491798265185e-56,2.6805724746147363e-57,2.546976015348724e-71,9.575615115361034e-55
