Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35)
7.061219776616057e-19,0.0006651577600000001,0.2,0.0,0.0019575592836908484,0.1999999999997164,0.19999999999881118,0.19999999999999052,0.19999999999777646,2.5546548901335083e-40,7.51812436882098e-33,1.1289594816710541e-79,2.1248585199136495e-102,5.672228542366509e-13,8.642701469473361e-18,5.270575699360738e-29,2.223580016755306e-12,1.188855480449186e-12,9.484399335596366e-15,1.8092117966891675e-33,1.8303229798298093e-31,1.157702675140226e-31,4.6482757588394825e-45,3.6468520331073355e-47,9.274310217188159e-64,2.5297983430043915e-62,1.3395477239656695e-76,5.931795394705089e-103,3.5418420972863933e-62,1.2202253590811538e-85,6.385089277896831e-93,1.2893828014108014e-85
1.412244553910736e-18,0.0006651577600000001,0.2,0.0,0.0019575592797016934,0.1999999999994328,0.19999999999762233,0.19999999999998103,0.19999999999555287,5.109311945847647e-40,1.5036255110660042e-32,5.7138493245446414e-77,1.1965967666918645e-98,1.1344461862310103e-12,1.7285410218494534e-17,2.108233342378824e-28,4.447161698809468e-12,2.3777119596744547e-12,1.8968805679660544e-14,1.4473708584049237e-32,1.448395443151133e-30,9.107084792094755e-31,1.8592660832991422e-44,1.1539495411804478e-45,1.1734947907395245e-61,4.600784170657937e-61,9.74098956865642e-75,6.004172956289712e-100,4.482510124298151e-60,6.1757642155102064e-83,3.4477736138687585e-89,3.2628213493070074e-83
2.824489706408997e-18,0.0006651577600000001,0.2,0.0,0.0019575592717233858,0.19999999999886559,0.19999999999524462,0.19999999999996204,0.1999999999911057,1.0218626057188963e-39,3.007251659379729e-32,2.906328740040224e-74,2.435366633101224e-95,2.268892840969317e-12,3.45708275756329e-17,8.432949828330746e-28,8.894324403952996e-12,4.7554248910348335e-12,3.793761527309632e-14,1.1578972426852073e-31,1.1518684627694576e-29,7.223738092661442e-30,7.436705391220812e-44,3.6702000148927785e-44,1.4922486267065777e-59,1.446188453318413e-59,1.2232269304776877e-72,6.10791531240298e-97,5.702513371754e-58,3.1412791574690237e-80,6.957387708392086e-86,8.298034011473237e-81
5.6489800114055184e-18,0.0006651577600000001,0.2,0.0,0.0019575592557667713,0.19999999999773113,0.19999999999048923,0.19999999999992407,0.19999999998221138,2.0437254279524053e-39,6.014503955791012e-32,1.4809251835667637e-71,4.963792123569054e-92,4.537786113444268e-12,6.914166172627771e-17,3.373191489929076e-27,1.7788647178381627e-11,9.510850645394966e-12,7.587522208120153e-14,9.263179966167091e-31,9.17952868403659e-29,5.754034517637553e-29,2.9743996499416684e-43,1.1698673915432e-42,1.9009498227931735e-57,1.1374767603857635e-57,3.844412613915606e-70,6.224614770433492e-94,7.270521551020421e-56,1.6006431420738075e-77,1.4119357121395486e-82,2.1141485359655167e-78
8.47347031640204e-18,0.0006651577600000001,0.2,0.0,0.00195755923981016,0.19999999999659668,0.19999999998573384,0.1999999999998861,0.19999999997331705,3.065588250151238e-39,9.021756251986581e-32,1.2880817826711037e-70,3.168084196694631e-91,6.806679348917551e-12,1.0371249531326921e-16,7.168050976523437e-27,2.6682967316952604e-11,1.4266276291394477e-11,1.1381281651054428e-13,2.75000670091281e-30,2.7213462126752618e-28,1.7061040899867644e-28,6.320196576802816e-43,5.591298095817862e-42,1.276844768124375e-56,7.347699523198232e-57,3.2416541482177676e-69,6.025462596665295e-93,4.8847254644490064e-55,1.392209993519123e-76,9.018022604195707e-82,1.6258953340988467e-77
1.129796062139856e-17,0.0006651577600000001,0.2,0.0,0.001957559223853552,0.19999999999546222,0.19999999998097845,0.19999999999984813,0.19999999996442272,4.087451072315589e-39,1.2029008547967481e-31,7.689663997562738e-70,3.6790106786331782e-90,9.07557254738916e-12,1.38283328336586e-16,1.2227883212202546e-26,3.55772848196667e-11,1.902170182903338e-11,1.517503985611286e-13,5.992119990881985e-30,5.923759098961769e-28,3.7149481883545927e-28,1.0780911235971902e-42,1.8489430393084642e-41,5.869778870007483e-56,3.304707723650253e-56,1.895177197392491e-68,3.8877184967327094e-92,2.245938374365825e-54,8.311293166514386e-76,1.045566803034348e-80,8.1284505565229e-77
1.6946941231391602e-17,0.0006651577600000001,0.2,0.0,0.001957559191940341,0.19999999999319334,0.19999999997146767,0.1999999999997722,0.1999999999466341,6.131176716565111e-39,1.8043513139434239e-31,1.8095609995853448e-68,3.2739720304775724e-88,1.3613358857491674e-11,2.0742499306022554e-16,2.531639986516798e-26,5.3365913638902574e-11,2.8532552649995495e-11,2.276255336101212e-13,1.7393275903497945e-29,1.7171272126968734e-27,1.077552152905772e-27,2.23187350037492e-42,1.0771635654610731e-40,7.138652965945553e-55,3.935500992828432e-55,4.344429579876165e-67,1.000877076605195e-90,2.7319808240464324e-53,1.9558447880720565e-74,9.288781493712356e-79,1.0802412648923017e-75
2.2595921841384647e-17,0.0006651577600000001,0.2,0.0,0.0019575591600271415,0.19999999999092447,0.1999999999619569,0.19999999999969625,0.19999999992884546,8.174902360693665e-39,2.405801773013777e-31,1.1309111619515827e-67,2.9503969167703004e-87,1.8151145031525742e-11,2.7656665571081933e-16,4.3056770157574224e-26,7.115453276515901e-11,3.8043403072477066e-11,3.035006231380367e-13,3.8037132360791457e-29,3.7511334463554556e-27,2.3555112727557602e-27,3.795594752602373e-42,3.581023546536634e-40,3.2978269140050337e-54,1.8106035182824864e-54,2.70059904424137e-66,6.650833283461585e-90,1.2624805045673103e-52,1.222333134110525e-73,8.368099991702759e-78,5.663107165021134e-75
2.824490245137769e-17,0.0006651577600000001,0.2,0.0,0.001957559128113953,0.19999999998865559,0.1999999999524461,0.19999999999962031,0.19999999991105682,1.021862800470191e-38,3.0072522320060555e-31,5.45083793744093e-67,2.152436709554461e-86,2.2688931059772127e-11,3.4570831614014595e-16,6.578133640554455e-26,8.894314150608552e-11,4.755425306801526e-11,3.7937566389339575e-13,7.136283568493272e-29,7.030346706378929e-27,4.4180179838326725e-27,5.798553550366395e-42,9.648024998876494e-40,1.2075980549193036e-53,6.615636360673484e-54,1.297751132571516e-65,3.5612367273604254e-89,4.624130969714116e-52,5.891477827141158e-73,6.1029706215554665e-77,2.2755497595168926e-74
3.954286367136378e-17,0.0006651577600000001,0.2,0.0,0.0019575590642876084,0.1999999999841178,0.19999999993342454,0.19999999999946844,0.19999999987547967,1.4306079292524397e-38,4.2101531497998655e-31,2.771308744275873e-65,2.757055423969397e-84,3.176450266974399e-11,4.839916301944987e-16,1.2649657872644597e-25,1.2452032717963764e-10,6.657595175144379e-11,5.311255960230152e-13,1.9526170760384685e-28,1.91841441974237e-26,1.2083465931042822e-26,1.1150810794568667e-41,5.6711072175906355e-39,1.859785841952765e-52,1.0178168540490543e-52,6.578365106932682e-64,3.2323962899485228e-87,7.134890689807508e-51,2.9953325215137982e-71,7.8128691567940585e-75,5.801314234639625e-73
