Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24)
4.2170928932649423e-17,0.0004434385066666667,0.2,0.0,0.0013050393764694951,0.1999999999801199,0.2,0.19999999999953755,0.19999999989157224,1.7813730192642622e-53,2.876998227034067e-41,1.5309636376632074e-69,3.3434335024885827e-99,3.976027043602593e-11,6.361024979745624e-18,4.936927635209506e-30,1.0842773982975804e-10,6.3610249798193176e-18,4.624824171074067e-13,1.177916926922341e-38,3.529170860358906e-27,3.991406600475081e-28,1.4270359227407145e-49,4.666524728250644e-42,5.464621298702335e-56,5.45185164384078e-57,9.730151726214227e-68,4.52040084489177e-132
5.622790549178771e-17,0.0004434385066666667,0.2,0.0,0.0013050393269193456,0.19999999997349321,0.2,0.1999999999993834,0.1999999998554297,2.8302385175134067e-53,3.8379136815744126e-41,9.573311896268008e-69,3.0146751285408785e-98,5.301369229787827e-11,8.481366381121013e-18,8.396420055775367e-30,1.4457030315922653e-10,8.48136638121927e-18,6.166422716062206e-13,2.575971375860394e-38,7.715316219260725e-27,8.728465742470963e-28,4.735639757180705e-49,1.55226151101581e-41,2.526268231114032e-55,2.520538534108134e-56,6.084577398904175e-67,4.464952412868857e-131
7.028488205092599e-17,0.0004434385066666667,0.2,0.0,0.0013050392773692068,0.19999999996686652,0.2,0.19999999999922924,0.19999999981928715,4.786541515828333e-53,4.80201526706985e-41,4.617034881377099e-68,2.20083586131508e-97,6.626711316796488e-11,1.0601707623897384e-17,1.2827831349295484e-29,1.807128572444738e-10,1.0601707624020205e-17,7.708016149629089e-13,4.83287268295863e-38,1.446987615977048e-26,1.637527777588344e-27,1.2753225343385688e-48,4.1844061940069663e-41,9.256616360659274e-55,9.236141476382002e-56,2.934651733501395e-66,3.3988038716815162e-130
9.839883516920255e-17,0.0004434385066666667,0.2,0.0,0.001305039178268963,0.1999999999536131,0.2,0.1999999999989209,0.19999999974700208,2.2730828325585116e-52,6.761522350972466e-41,2.3571515611576754e-66,2.831060097355671e-95,9.277395187054101e-11,1.4842389623691044e-17,2.4667458975313204e-29,2.5299793710165e-10,1.4842389623862994e-17,1.0791187361527122e-12,1.3223618774937945e-37,3.9552387659693756e-26,4.48021836362169e-27,7.50729646329218e-48,2.4642314913325564e-40,1.4308235291548685e-53,1.4282502648337747e-54,1.4989183946411245e-64,8.943103870752982e-128
1.2651278828747912e-16,0.0004434385066666667,0.2,0.0,0.0013050390791687625,0.19999999994035966,0.2,0.19999999999861262,0.19999999967471704,8.413437532944038e-52,8.799234355790521e-41,1.6815960824254612e-65,2.630677730474141e-94,1.1928078654502432e-10,1.908307097933057e-17,4.045456011348009e-29,3.252829794131743e-10,1.9083070979551644e-17,1.387433781345212e-12,2.7876994595755086e-37,8.330574196453946e-26,9.444198045200025e-27,2.530626044824547e-47,8.305574369839139e-40,7.280325827232652e-53,7.268814373743714e-54,1.0695078123707301e-63,9.459422298017752e-127
1.8274069452403225e-16,0.0004434385066666667,0.2,0.0,0.0013050388809684925,0.19999999991385284,0.2,0.19999999999799598,0.19999999953014708,8.589909239057788e-51,1.3631145294740923e-40,7.462476800647443e-64,2.8547620013625117e-92,1.722944438113891e-10,2.7564431758420442e-17,8.386950513583749e-29,4.698529514151937e-10,2.7564431758739777e-17,2.004057644684781e-12,8.503346529164518e-37,2.5356591260479046e-25,2.8803225355398043e-26,1.7291654767320823e-46,5.669782292129817e-39,1.2144046598940189e-51,1.2134753114955976e-52,4.750235523637057e-62,1.8070977382961272e-124
2.9519650699713853e-16,0.0004434385066666667,0.2,0.0,0.001305038484568476,0.19999999986083922,0.2,0.19999999999676274,0.1999999992410076,1.9827631678561325e-49,3.4790633843290167e-40,9.089346540813363e-62,8.89687871703819e-90,2.783217100139514e-10,4.4527145587914936e-17,2.180619085972791e-28,7.589924449392646e-10,4.4527145588430783e-17,3.237280463834787e-12,3.689673605846487e-36,1.095073389937954e-24,1.2493727690326383e-25,2.17386566256407e-45,7.111640793986368e-38,4.672212619102302e-50,4.677618184772913e-51,5.79695220514521e-60,1.1207191290079117e-121
5.20108131943351e-16,0.0004434385066666667,0.2,0.0,0.001305037691770538,0.19999999975481203,0.2,0.19999999999429638,0.1999999986627304,7.359767795371005e-48,3.1381158702105955e-39,2.093384671312568e-59,6.056053908278099e-87,4.903760490988899e-10,7.845254233250676e-17,6.758944983424446e-28,1.3372696300874955e-09,7.845254233341563e-17,5.703626476542561e-12,2.085979103253886e-35,6.130643436217348e-24,7.058434128845156e-25,4.1453749081589643e-44,1.3496107326093666e-36,3.0685258901539517e-48,3.083858683127262e-49,1.3402108265615087e-57,1.5240906605340892e-118
9.69931381835776e-16,0.0004434385066666667,0.2,0.0,0.001305036106183041,0.1999999995427581,0.2,0.199999999989364,0.19999999750618325,3.4981471554758948e-46,6.740426563248535e-38,6.873634030805572e-57,8.89937142036764e-84,9.144839539798558e-10,1.4630321216492265e-16,2.3493444754551212e-27,2.4938167928314834e-09,1.4630321216661774e-16,1.063592002947656e-11,1.3870275695878002e-34,3.997235349745381e-23,4.6866826286674254e-24,1.002425388182794e-42,3.232422847204413e-35,2.7057500226395588e-46,2.739217966375156e-47,4.4327369817653834e-55,4.477136812350806e-115
1.869577881620626e-15,0.0004434385066666667,0.2,0.0,0.001305032935041564,0.19999999911865174,0.2,0.19999999997950085,0.19999999519311776,1.8705064267785798e-44,1.7953019087027717e-36,2.6895720232943226e-54,1.3146200009082313e-80,1.7626966705168706e-09,2.820040572086201e-16,8.727336816320837e-27,4.806882288450159e-09,2.820040572118926e-16,2.0498913482469186e-11,1.0087200391399644e-33,2.79761087607952e-22,3.398690915087357e-23,2.7383436321174686e-41,8.668368686142366e-34,2.7479894670782276e-44,2.818857802043415e-45,1.7573746676031735e-52,1.322726930326617e-111
