Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141)
1.9173296668786746e-17,0.0005542981333333334,0.2,0.0,0.0016312993075207204,0.19999999999297013,0.19999999997053192,0.1999999999997649,0.19999999994488385,7.040979541411873e-45,1.617771024343026e-35,4.85882065630142e-70,3.6704868693108974e-91,1.405983205468547e-11,4.003057770403111e-17,5.076122306001623e-28,5.5116163510504546e-11,2.946815343566359e-11,2.3509076133928137e-13,9.704762959982022e-31,9.612139097642078e-28,2.587240738244822e-28,2.079698906149949e-46,7.087505379685735e-42,3.18215897971863e-56,1.0166100067985019e-56,1.8717564681403306e-68,2.177557044261838e-95,2.5198766141755133e-54,4.463878156929429e-77,1.2309828143810378e-80,3.311430017951726e-80,1.3709775106606542e-82,1.7434939290978465e-112
2.5564395784124073e-17,0.0005542981333333334,0.2,0.0,0.0016312992745609715,0.19999999999062684,0.19999999996070922,0.1999999999996865,0.1999999999265118,9.387972868034832e-45,2.1570280543029655e-35,3.0379329703169995e-69,3.309195651645593e-90,1.874644255688009e-11,5.337410308528051e-17,8.633219202687904e-28,7.348820727495512e-11,3.9290871187892854e-11,3.1345420546570863e-13,2.1223222032579088e-30,2.1010391938242578e-27,5.6571478873238865e-28,3.558031645191794e-46,2.3573037739956017e-41,1.470867473713056e-55,4.6995977459041005e-56,1.1703575531023903e-67,1.525445238845701e-94,1.1649010331205543e-53,2.790999542604893e-76,1.1096891088814067e-79,1.8636183150535522e-79,1.2360302535357647e-81,1.2921195793913172e-111
3.834659401479872e-17,0.0005542981333333334,0.2,0.0,0.0016312992086414942,0.19999999998594023,0.19999999994106382,0.19999999999952975,0.19999999988976774,1.4081960553814368e-44,3.2355421424657185e-35,2.7127167240871863e-67,8.571361997491627e-88,2.8119662989397847e-11,8.006115221940764e-17,1.8810357977164135e-27,1.102322761026859e-10,5.893630602462288e-11,4.701808543628512e-13,7.059848780751462e-30,6.978940524252702e-27,1.881416347103469e-27,8.013773429954628e-46,1.9309918312925005e-40,3.564970722525927e-54,1.1400348641397957e-54,1.0460560002405915e-65,7.31718357370197e-92,2.825860631475005e-52,2.492228009013612e-74,2.8734424372819476e-77,2.102790048591406e-77,3.201522008576417e-79,1.7157799614130702e-111
5.1128792245473376e-17,0.0005542981333333334,0.2,0.0,0.0016312991427220435,0.19999999998125362,0.19999999992141843,0.19999999999937298,0.19999999985302366,1.8775951842729518e-44,4.3140563100337276e-35,2.2051985322839992e-66,9.01273289086386e-87,3.7492882668072713e-11,1.0674819920678558e-16,3.302521046849198e-27,1.4697632027848937e-10,7.858173998115141e-11,6.269071877409993e-13,1.6423968613023734e-29,1.6215802276011676e-26,4.376342574311523e-27,1.482130910465337e-45,7.447938229177281e-40,2.0862648872653786e-53,6.674222040906637e-54,8.506000617199754e-65,8.660742712427643e-91,1.654375103954216e-51,2.0259638393811097e-73,3.021281190483128e-76,1.9839891545304973e-76,3.366380126583278e-78,4.117195947784547e-108
7.669318870682267e-17,0.0005542981333333334,0.2,0.0,0.001631299010883222,0.1999999999718804,0.1999999998821276,0.19999999999905949,0.19999999977953567,2.816399799426407e-44,6.471085531173273e-35,1.3865135416097935e-64,1.727212833447758e-84,5.623931975347361e-11,1.601222867098743e-16,7.362487687614706e-27,2.2046433433369168e-10,1.1787260524144073e-10,9.403589035828557e-13,5.59234294575447e-29,5.505121852257813e-26,1.4898186952573976e-26,4.1306296963314487e-45,6.099071062634829e-39,4.526186216616302e-52,1.4503384693844143e-52,5.357157919587791e-63,4.385241051605388e-88,3.5950450557594763e-50,1.273838586559279e-71,5.78827157308279e-74,3.1509976180776554e-74,6.451378285290795e-76,5.4891618832362066e-108
1.278219816295213e-16,0.0005542981333333334,0.2,0.0,0.0016312987472058994,0.19999999995313394,0.199999999803546,0.1999999999984325,0.19999999963255993,4.69420090137305e-44,1.0785158899314155e-34,2.1154808654325425e-62,7.589400418079328e-82,9.373218483415477e-11,2.668704358114937e-16,2.0352301640769742e-26,3.6744006518330556e-10,1.9645432514825585e-10,1.5672585306606355e-12,2.6598162338438875e-28,2.6014010860217766e-25,7.083246585750772e-26,2.4813567471699e-44,8.832990361712218e-38,2.0995457590197235e-50,6.753316715232047e-51,8.20477554107543e-61,7.093920041197473e-85,1.674001264903312e-48,1.9436642277121592e-69,2.5424424988581254e-71,1.5320722578712545e-71,2.834745754650038e-73,9.451917743174562e-108
2.3007956747491852e-16,0.0005542981333333334,0.2,0.0,0.0016312982198525387,0.19999999991564113,0.19999999964638282,0.1999999999971785,0.19999999933860962,8.457877276012254e-44,1.9413635260099496e-34,5.561775258764593e-60,6.673890337222742e-79,1.687178786251779e-10,4.803666302773391e-16,6.582199166699787e-26,6.613903375240656e-10,3.5361772249550505e-10,2.821042562469716e-12,1.5981318546339064e-27,1.5422866285106192e-24,4.253057487905069e-25,3.7312058249280955e-43,1.830572695836693e-36,1.5385580919889384e-48,4.986969764049226e-49,2.1736020481526983e-58,2.411613916970961e-81,1.2361946759841864e-46,5.1110288664405756e-67,2.234244080647291e-68,1.4473439505110673e-68,2.492790049496398e-70,9.888663588801064e-108
4.3459473916571295e-16,0.0005542981333333334,0.2,0.0,0.0016312971651509505,0.19999999984065553,0.19999999933205662,0.19999999999467055,0.19999999875071384,1.6391710327792087e-43,3.667906937384543e-34,1.9479569171893453e-57,8.52636090982047e-76,3.1868912072099044e-10,9.073586035190175e-16,2.347661863847537e-25,1.249286124668235e-09,6.679443473202362e-10,5.328549736277621e-12,1.1003199255404103e-26,1.0340963061335749e-23,2.924440361560606e-24,8.946300945687591e-42,4.583810150412892e-35,1.4280750361028894e-46,4.699521455260752e-47,7.728216591606988e-56,1.2215036588977796e-77,1.1650476067660353e-44,1.791430026239096e-64,2.850693610520537e-65,1.9407789018669003e-65,3.184713191023038e-67,-9.102619974533675e-106
8.436250825473018e-16,0.0005542981333333334,0.2,0.0,0.001631295055768309,0.19999999969068455,0.19999999870340487,0.19999999998965493,0.1999999975749413,5.441471257349044e-43,7.14437774605691e-34,7.739285949334667e-55,9.272609677298194e-73,6.186310229528769e-10,1.7613408813874152e-15,8.850174091607947e-25,2.4250586687711566e-09,1.2965969174849557e-09,1.0343320531394552e-11,8.151882578649443e-26,7.278384642689653e-23,2.1610514821449633e-23,2.5067110481155262e-40,1.2471181043752464e-33,1.4620257175046437e-44,4.955198939714477e-45,3.161648709083681e-53,7.529299800305109e-74,1.2288499963817724e-42,7.139095079107469e-62,3.098215298776616e-62,3.081514619622931e-62,3.463447030047473e-64,3.128321141413641e-92
1.6616857693104795e-15,0.0005542981333333334,0.2,0.0,0.001631290837085165,0.1999999993907438,0.1999999974461042,0.19999999997962464,0.19999999522347234,1.349887673207345e-41,1.474633084726274e-33,3.1213179742935426e-52,2.0371949877723923e-69,1.2185124995304569e-09,3.469298716029885e-15,3.437681469024012e-24,4.77652763827333e-09,2.553899339913091e-09,2.037188799536169e-11,6.273035430963942e-25,5.088914044302458e-22,1.6544929292771248e-22,7.400404118188122e-39,3.432857259916148e-32,1.4968397367859116e-42,5.364479524596932e-43,1.3478072694583037e-50,4.9806122886010294e-70,1.3320860460577017e-40,2.91623182638826e-59,6.7590238487648155e-59,5.174616703734146e-59,7.609201364636566e-61,3.8235427632695646e-92
2.479746456073657e-15,0.0005542981333333334,0.2,0.0,0.0016312866185115363,0.19999999909080463,0.19999999618880712,0.19999999996959567,0.19999999287210488,8.59881611887358e-41,2.4850730524684185e-33,3.4265944262475674e-51,2.768442330643543e-68,1.8183908722036535e-09,5.177247528345794e-15,7.663429586363569e-24,7.1278951190131664e-09,3.811198138528492e-09,3.03991567359667e-11,1.9711716866995006e-24,1.5020777628459739e-21,5.181060041994416e-22,4.1208392611902983e-38,1.8521810508769828e-31,1.2061147501580672e-41,4.396295830138579e-42,1.4983917378520442e-49,8.490035399668268e-69,1.0923493929269512e-39,3.2165359105437925e-58,9.18770489220948e-58,7.283964225423604e-58,1.0340509551485883e-59,1.1340516503391878e-87
